Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName
shared0-samcompute1-11-prd.eng.sfdc.net,10.253.213.18/29,10.251.160.0/27,a38-02
shared0-samcompute1-4-prd.eng.sfdc.net,10.253.213.19/29,10.251.160.32/27,a38-02
shared0-samcompute1-8-prd.eng.sfdc.net,10.253.213.20/29,10.251.160.64/27,a38-02
shared0-samcompute1-9-prd.eng.sfdc.net,10.253.213.21/29,10.251.160.96/27,a38-02
shared0-samcontrol1-1-prd.eng.sfdc.net,10.253.213.22/29,10.251.160.128/27,a38-02
shared0-samcompute1-1-prd.eng.sfdc.net,10.253.213.2/29,10.251.160.160/27,e41-02
shared0-samcompute1-13-prd.eng.sfdc.net,10.253.213.3/29,10.251.160.192/27,e41-02
shared0-samcompute1-14-prd.eng.sfdc.net,10.253.213.4/29,10.251.160.224/27,e41-02
shared0-samcompute1-5-prd.eng.sfdc.net,10.253.213.5/29,10.251.161.0/27,e41-02
shared0-samkubeapi1-1-prd.eng.sfdc.net,10.253.213.6/29,10.251.161.32/27,e41-02
shared0-samcompute2-10-prd.eng.sfdc.net,10.253.213.42/29,10.251.161.64/27,f34-02
shared0-samcompute2-13-prd.eng.sfdc.net,10.253.213.43/29,10.251.161.96/27,f34-02
shared0-samcompute2-6-prd.eng.sfdc.net,10.253.213.44/29,10.251.161.128/27,f34-02
shared0-samcompute2-7-prd.eng.sfdc.net,10.253.213.45/29,10.251.161.160/27,f34-02
shared0-samkubeapi3-1-prd.eng.sfdc.net,10.253.213.46/29,10.251.161.192/27,f34-02
shared0-samcompute1-15-prd.eng.sfdc.net,10.253.213.50/29,10.251.161.224/27,f35-02
shared0-samcompute1-16-prd.eng.sfdc.net,10.253.213.51/29,10.251.162.0/27,f35-02
shared0-samcompute1-2-prd.eng.sfdc.net,10.253.213.52/29,10.251.162.32/27,f35-02
shared0-samcompute1-3-prd.eng.sfdc.net,10.253.213.53/29,10.251.162.64/27,f35-02
shared0-samcontrol1-2-prd.eng.sfdc.net,10.253.213.54/29,10.251.162.96/27,f35-02
shared0-samcompute2-12-prd.eng.sfdc.net,10.253.213.26/29,10.251.162.128/27,h11-02
shared0-samcompute2-15-prd.eng.sfdc.net,10.253.213.27/29,10.251.162.160/27,h11-02
shared0-samcompute2-2-prd.eng.sfdc.net,10.253.213.28/29,10.251.162.192/27,h11-02
shared0-samcompute2-8-prd.eng.sfdc.net,10.253.213.29/29,10.251.162.224/27,h11-02
shared0-samcontrol2-1-prd.eng.sfdc.net,10.253.213.30/29,10.251.163.0/27,h11-02
shared0-samcompute2-1-prd.eng.sfdc.net,10.253.213.10/29,10.251.163.32/27,h21-02
shared0-samcompute2-14-prd.eng.sfdc.net,10.253.213.11/29,10.251.163.64/27,h21-02
shared0-samcompute2-16-prd.eng.sfdc.net,10.253.213.12/29,10.251.163.96/27,h21-02
shared0-samcompute2-3-prd.eng.sfdc.net,10.253.213.13/29,10.251.163.128/27,h21-02
shared0-samkubeapi2-1-prd.eng.sfdc.net,10.253.213.14/29,10.251.163.160/27,h21-02
shared0-samcompute2-11-prd.eng.sfdc.net,10.253.213.58/29,10.251.163.192/27,j07-02
shared0-samcompute2-4-prd.eng.sfdc.net,10.253.213.59/29,10.251.163.224/27,j07-02
shared0-samcompute2-5-prd.eng.sfdc.net,10.253.213.60/29,10.251.164.0/27,j07-02
shared0-samcompute2-9-prd.eng.sfdc.net,10.253.213.61/29,10.251.164.32/27,j07-02
shared0-samcontrol2-2-prd.eng.sfdc.net,10.253.213.62/29,10.251.164.64/27,j07-02
shared0-samcompute1-10-prd.eng.sfdc.net,10.253.213.34/29,10.251.164.96/27,k07-02
shared0-samcompute1-12-prd.eng.sfdc.net,10.253.213.35/29,10.251.164.128/27,k07-02
shared0-samcompute1-6-prd.eng.sfdc.net,10.253.213.36/29,10.251.164.160/27,k07-02
shared0-samcompute1-7-prd.eng.sfdc.net,10.253.213.37/29,10.251.164.192/27,k07-02
shared0-samkubeapi1-2-prd.eng.sfdc.net,10.253.213.38/29,10.251.164.224/27,k07-02
shared0-samminiongater1-3-prd.eng.sfdc.net,10.253.207.18/29,10.251.130.0/27,b08-02
shared0-samminiongater1-2-prd.eng.sfdc.net,10.253.207.26/29,10.251.130.32/27,e35-02
shared0-samminiongater2-2-prd.eng.sfdc.net,10.253.207.34/29,10.251.130.64/27,h38-02
shared0-samminiongater1-1-prd.eng.sfdc.net,10.253.207.10/29,10.251.130.96/27,j08-02
shared0-samminiongater2-1-prd.eng.sfdc.net,10.253.207.2/29,10.251.130.128/27,k08-02
shared0-samminionreportcollector2-1-prd.eng.sfdc.net,10.253.232.2/29,10.251.132.0/27,h10-02
shared0-samminionreportcollector1-1-prd.eng.sfdc.net,10.253.232.10/29,10.251.132.32/27,k10-02
shared0-samminionreportcollector3-1-prd.eng.sfdc.net,10.253.232.18/29,10.251.132.64/27,m37-02
samcaas1-caasminion2-3-prd.eng.sfdc.net,10.253.231.100/28,10.251.152.0/27,e35-02
samcaas1-caasminion1-2-prd.eng.sfdc.net,10.253.231.34/29,10.251.152.32/27,f34-02
samcaas1-caasminion2-1-prd.eng.sfdc.net,10.253.231.2/29,10.251.152.64/27,k23-02
samcaas1-caasminion3-1-prd.eng.sfdc.net,10.253.231.26/29,10.251.152.96/27,p31-02
samcaas1-caasminion3-3-prd.eng.sfdc.net,10.253.231.114/28,10.251.152.128/27,u31-02
samcaas1-caasminion3-2-prd.eng.sfdc.net,10.253.231.66/28,10.251.152.160/27,u34-02
samcaas1-caasminion1-1-prd.eng.sfdc.net,10.253.231.10/29,10.251.152.192/27,u40-02
samcaas1-caasminion2-2-prd.eng.sfdc.net,10.253.231.18/29,10.251.152.224/27,u41-02
samcaas1-caasminion1-4-prd.eng.sfdc.net,10.253.231.50/28,10.251.153.0/27,v38-02
samcaas1-caasminion1-3-prd.eng.sfdc.net,10.253.231.82/28,10.251.153.32/27,w32-02
