Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
mist51shared0-samminiongwc1-1-prd.eng.sfdc.net,10.231.186.34/29,10.251.137.160/27,w31-02,prd-sam_gatewayconfig,65009
mist51shared0-samminiongwc2-1-prd.eng.sfdc.net,10.231.186.42/29,10.251.137.128/27,m40-02,prd-sam_gatewayconfig,65009
rdi-release1-1-prd.eng.sfdc.net,10.253.156.15/26,10.252.162.32/27,l07-02,prd-rdi_release,65009
rdi-release300-1-prd.eng.sfdc.net,10.253.156.8/26,10.252.160.192/27,l07-02,prd-rdi_release,65009
rdi-release300-2-prd.eng.sfdc.net,10.253.156.7/26,10.252.160.224/27,l07-02,prd-rdi_release,65009
rdi-release301-1-prd.eng.sfdc.net,10.253.156.4/26,10.252.141.128/27,l07-02,prd-rdi_release,65009
rdi-release301-2-prd.eng.sfdc.net,10.253.156.9/26,10.252.141.160/27,l07-02,prd-rdi_release,65009
rdi-release302-1-prd.eng.sfdc.net,10.253.156.10/26,10.252.200.0/27,l07-02,prd-rdi_release,65009
rdi-release302-2-prd.eng.sfdc.net,10.253.156.5/26,10.252.200.32/27,l07-02,prd-rdi_release,65009
rdi-release303-1-prd.eng.sfdc.net,10.253.156.11/26,10.252.200.64/27,l07-02,prd-rdi_release,65009
rdi-release303-2-prd.eng.sfdc.net,10.253.156.12/26,10.252.200.96/27,l07-02,prd-rdi_release,65009
rdi-release304-1-prd.eng.sfdc.net,10.253.156.13/26,10.252.200.128/27,l07-02,prd-rdi_release,65009
rdi-release304-2-prd.eng.sfdc.net,10.253.156.14/26,10.252.200.160/27,l07-02,prd-rdi_release,65009
rdi-release305-1-prd.eng.sfdc.net,10.253.156.23/26,10.252.200.192/27,l07-02,prd-rdi_release,65009
rdi-release305-2-prd.eng.sfdc.net,10.253.156.24/26,10.252.200.224/27,l07-02,prd-rdi_release,65009
rdi-release306-1-prd.eng.sfdc.net,10.253.156.25/26,10.252.201.0/27,l07-02,prd-rdi_release,65009
rdi-release306-2-prd.eng.sfdc.net,10.253.156.26/26,10.252.201.32/27,l07-02,prd-rdi_release,65009
rdi-release307-1-prd.eng.sfdc.net,10.253.156.27/26,10.252.201.64/27,l07-02,prd-rdi_release,65009
rdi-release307-2-prd.eng.sfdc.net,10.253.156.28/26,10.252.201.96/27,l07-02,prd-rdi_release,65009
rdi-release308-1-prd.eng.sfdc.net,10.253.156.29/26,10.252.201.128/27,l07-02,prd-rdi_release,65009
rdi-release308-2-prd.eng.sfdc.net,10.253.156.30/26,10.252.201.160/27,l07-02,prd-rdi_release,65009
rdi-release309-1-prd.eng.sfdc.net,10.253.156.31/26,10.252.201.192/27,l07-02,prd-rdi_release,65009
rdi-release309-2-prd.eng.sfdc.net,10.253.156.32/26,10.252.201.224/27,l07-02,prd-rdi_release,65009
rdi-release310-1-prd.eng.sfdc.net,10.253.156.33/26,10.252.202.0/27,l07-02,prd-rdi_release,65009
rdi-release310-2-prd.eng.sfdc.net,10.253.156.34/26,10.252.202.32/27,l07-02,prd-rdi_release,65009
rdi-release311-1-prd.eng.sfdc.net,10.253.156.35/26,10.252.202.64/27,l07-02,prd-rdi_release,65009
