Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
shared0-samcompute1-1-wax.ops.sfdc.net,10.250.38.4/28,10.250.52.96/27,B01-3,wax-sam
shared0-samcompute1-2-wax.ops.sfdc.net,10.250.38.5/28,10.250.52.128/27,B01-4,wax-sam
shared0-samcompute2-1-wax.ops.sfdc.net,10.250.38.19/28,10.250.52.160/27,C01-2,wax-sam
shared0-samkubeapi1-1-wax.ops.sfdc.net,10.250.38.2/28,10.250.52.0/27,B01-1,wax-sam
shared0-samkubeapi2-1-wax.ops.sfdc.net,10.250.38.18/28,10.250.52.32/27,C01-1,wax-sam
shared0-samkubeapi3-1-wax.ops.sfdc.net,10.250.38.3/28,10.250.52.64/27,B01-2,wax-sam
shared0-samminiongater1-1-wax.ops.sfdc.net,10.250.38.6/28,10.250.52.192/27,B01-5,wax-sam_gater
shared0-samminiongater1-2-wax.ops.sfdc.net,10.250.38.7/28,10.250.52.224/27,B01-6,wax-sam_gater
shared0-samminiongater1-3-wax.ops.sfdc.net,10.250.38.8/28,10.250.53.0/27,B01-7,wax-sam_gater
shared0-samminiongater2-1-wax.ops.sfdc.net,10.250.38.20/28,10.250.53.32/27,C01-3,wax-sam_gater
shared0-samminiongater2-2-wax.ops.sfdc.net,10.250.38.21/28,10.250.53.64/27,C01-4,wax-sam_gater
