Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samcaas1-caasminion1-1-dfw.ops.sfdc.net,10.247.107.2/29,10.214.136.192/27,k12-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-10-dfw.ops.sfdc.net,10.220.202.66/29,10.214.137.160/27,g31-01,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-2-dfw.ops.sfdc.net,10.247.107.42/29,10.214.136.160/27,k10-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-3-dfw.ops.sfdc.net,10.247.107.3/29,10.214.136.224/27,k12-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-4-dfw.ops.sfdc.net,10.247.107.26/29,10.214.137.0/27,m25-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-5-dfw.ops.sfdc.net,10.220.202.74/29,10.214.137.128/27,g30-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-6-dfw.ops.sfdc.net,10.220.202.82/29,10.214.137.96/27,d22-01,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-7-dfw.ops.sfdc.net,10.220.202.90/29,10.214.138.192/27,l35-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-8-dfw.ops.sfdc.net,10.220.202.98/29,10.214.138.160/27,l35-01,dfw-sp1-sam_caas,65009
samcaas1-caasminion1-9-dfw.ops.sfdc.net,10.220.202.106/29,10.214.137.64/27,c02-01,dfw-sp1-sam_caas,65009
samcaas1-caasminion2-1-dfw.ops.sfdc.net,10.247.107.10/29,10.214.136.0/27,j02-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion2-10-dfw.ops.sfdc.net,10.220.202.114/29,10.214.139.32/27,n06-01,dfw-sp1-sam_caas,65009
samcaas1-caasminion2-2-dfw.ops.sfdc.net,10.247.107.50/29,10.214.136.64/27,j10-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion2-3-dfw.ops.sfdc.net,10.247.107.11/29,10.214.136.32/27,j02-02,dfw-sp1-sam_caas,65009
samcaas1-caasminion2-4-dfw.ops.sfdc.net,10.220.202.122/29,10.214.139.128/27,r38-01,dfw-sp1-sam_caas,65009
