Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
samcaas1-caasminion1-1-prd.eng.sfdc.net,10.253.231.10/29,10.251.152.192/27,u40-02,prd-sp1-sam_caas
samcaas1-caasminion1-2-prd.eng.sfdc.net,10.253.231.34/29,10.251.152.32/27,f34-02,prd-sp1-sam_caas
samcaas1-caasminion1-3-prd.eng.sfdc.net,10.253.231.82/28,10.251.153.32/27,w32-02,prd-sp1-sam_caas
samcaas1-caasminion1-4-prd.eng.sfdc.net,10.253.231.50/28,10.251.153.0/27,v38-02,prd-sp1-sam_caas
samcaas1-caasminion2-1-prd.eng.sfdc.net,10.253.231.2/29,10.251.152.64/27,k23-02,prd-sp1-sam_caas
samcaas1-caasminion2-2-prd.eng.sfdc.net,10.253.231.18/29,10.251.152.224/27,u41-02,prd-sp1-sam_caas
samcaas1-caasminion2-3-prd.eng.sfdc.net,10.253.231.100/28,10.251.152.0/27,e35-02,prd-sp1-sam_caas
samcaas1-caasminion3-1-prd.eng.sfdc.net,10.253.231.26/29,10.251.152.96/27,p31-02,prd-sp1-sam_caas
samcaas1-caasminion3-2-prd.eng.sfdc.net,10.253.231.66/28,10.251.152.160/27,u34-02,prd-sp1-sam_caas
samcaas1-caasminion3-3-prd.eng.sfdc.net,10.253.231.114/28,10.251.152.128/27,u31-02,prd-sp1-sam_caas
samcaas2-caasminion1-4-prd.eng.sfdc.net,10.231.71.42/29,10.251.178.0/27,d06-02,prd-sp2-sam_caas
samcaas2-caasminion2-3-prd.eng.sfdc.net,10.231.71.11/29,10.251.178.224/27,k08-02,prd-sp2-sam_caas
shared0-samcompute1-14-prd.eng.sfdc.net,10.253.213.4/29,10.251.160.224/27,e41-02,prd-sam
shared0-samcompute2-1-prd.eng.sfdc.net,10.253.213.10/29,10.251.163.32/27,h21-02,prd-sam
shared0-samcompute2-11-prd.eng.sfdc.net,10.253.213.58/29,10.251.163.192/27,j07-02,prd-sam
shared0-samcompute2-4-prd.eng.sfdc.net,10.253.213.59/29,10.251.163.224/27,j07-02,prd-sam
shared0-samcontrol1-1-prd.eng.sfdc.net,10.253.213.22/29,10.251.160.128/27,a38-02,prd-sam
shared0-samcontrol2-1-prd.eng.sfdc.net,10.253.213.30/29,10.251.163.0/27,h11-02,prd-sam
shared0-samcontrol2-2-prd.eng.sfdc.net,10.253.213.62/29,10.251.164.64/27,j07-02,prd-sam
shared0-samminionchatbot1-1-prd.eng.sfdc.net,10.231.71.82/29,10.251.176.96/27,q07-02,prd-sp2-sam_chatbot
shared0-samminionchatbot1-2-prd.eng.sfdc.net,10.231.71.90/29,10.251.176.64/27,bb32-02,prd-sp2-sam_chatbot
shared0-samminionchatbot2-1-prd.eng.sfdc.net,10.231.71.66/29,10.251.176.0/27,aa38-02,prd-sp2-sam_chatbot
shared0-samminionchatbot2-2-prd.eng.sfdc.net,10.231.71.74/29,10.251.176.32/27,bb31-02,prd-sp2-sam_chatbot
shared0-samminioniottest1-1-prd.eng.sfdc.net,10.231.88.66/29,10.251.177.64/27,bb34-02,prd-sp2-sam_iot_test
shared0-samminioniottest1-2-prd.eng.sfdc.net,10.231.88.82/29,10.251.177.0/27,aa38-02,prd-sp2-sam_iot_test
shared0-samminioniottest2-1-prd.eng.sfdc.net,10.231.88.74/29,10.251.177.96/27,bb37-02,prd-sp2-sam_iot_test
shared0-samminioniottest2-2-prd.eng.sfdc.net,10.231.88.90/29,10.251.177.32/27,bb31-02,prd-sp2-sam_iot_test
shared0-samminionwarden1-1-prd.eng.sfdc.net,10.231.102.82/29,10.251.142.0/27,q07-02,prd-sam_warden
shared0-sdbcompute1-1-prd.eng.sfdc.net,10.253.100.18/29,10.251.144.0/27,s10-02,prd-sp1-sdb_kube
shared0-sdbcompute1-2-prd.eng.sfdc.net,10.253.100.21/29,10.251.144.32/27,s10-02,prd-sp1-sdb_kube
shared0-sdbcompute1-3-prd.eng.sfdc.net,10.253.100.22/29,10.251.144.64/27,s10-02,prd-sp1-sdb_kube
shared0-sdbcompute2-1-prd.eng.sfdc.net,10.253.100.29/29,10.251.144.96/27,w35-02,prd-sp1-sdb_kube
shared0-sdbcompute2-2-prd.eng.sfdc.net,10.253.100.26/29,10.251.144.128/27,w35-02,prd-sp1-sdb_kube
shared0-sdbcompute2-3-prd.eng.sfdc.net,10.253.100.27/29,10.251.144.160/27,w35-02,prd-sp1-sdb_kube
