Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-flowsnakemasterprod1-1-ph2.ops.sfdc.net,10.226.198.162/29,10.178.103.64/27,f25-01,ph2-flowsnake_prod,4203041210
shared0-flowsnakemasterprod2-1-ph2.ops.sfdc.net,10.226.198.34/28,10.178.96.96/27,c29-01,ph2-flowsnake_prod,4203051215
shared0-flowsnakemasterprod3-1-ph2.ops.sfdc.net,10.226.198.138/29,10.178.98.128/27,e06-01,ph2-flowsnake_prod,4203081211
shared0-flowsnakemasterprod4-1-ph2.ops.sfdc.net,10.226.198.71/28,10.178.103.128/27,f62-01,ph2-flowsnake_prod,4203071204
shared0-flowsnakemasterprod5-1-ph2.ops.sfdc.net,10.226.198.18/28,10.178.100.160/27,e44-01,ph2-flowsnake_prod,4203031207
shared0-flowsnakeworkerprod1-1-ph2.ops.sfdc.net,10.226.198.7/28,10.178.99.0/27,e43-01,ph2-flowsnake_prod,4203031205
shared0-flowsnakeworkerprod1-10-ph2.ops.sfdc.net,10.226.198.92/29,10.178.98.0/27,d45-01,ph2-flowsnake_prod,4203061210
shared0-flowsnakeworkerprod1-11-ph2.ops.sfdc.net,10.226.198.114/29,10.178.97.160/27,d26-01,ph2-flowsnake_prod,4203051212
shared0-flowsnakeworkerprod1-12-ph2.ops.sfdc.net,10.226.198.84/29,10.178.101.192/27,e46-01,ph2-flowsnake_prod,4203031211
shared0-flowsnakeworkerprod1-13-ph2.ops.sfdc.net,10.226.198.115/29,10.178.97.192/27,d26-01,ph2-flowsnake_prod,4203051212
shared0-flowsnakeworkerprod1-14-ph2.ops.sfdc.net,10.226.198.101/29,10.178.104.64/27,f66-01,ph2-flowsnake_prod,4203071212
shared0-flowsnakeworkerprod1-15-ph2.ops.sfdc.net,10.226.198.21/28,10.178.100.192/27,e44-01,ph2-flowsnake_prod,4203031207
shared0-flowsnakeworkerprod1-16-ph2.ops.sfdc.net,10.226.198.22/28,10.178.100.224/27,e44-01,ph2-flowsnake_prod,4203031207
shared0-flowsnakeworkerprod1-17-ph2.ops.sfdc.net,10.226.198.131/29,10.178.97.96/27,d04-01,ph2-flowsnake_prod,4203091208
shared0-flowsnakeworkerprod1-18-ph2.ops.sfdc.net,10.226.198.66/28,10.178.103.160/27,f62-01,ph2-flowsnake_prod,4203071204
shared0-flowsnakeworkerprod1-19-ph2.ops.sfdc.net,10.226.198.10/28,10.178.99.32/27,e43-01,ph2-flowsnake_prod,4203031205
shared0-flowsnakeworkerprod1-2-ph2.ops.sfdc.net,10.226.198.139/29,10.178.98.160/27,e06-01,ph2-flowsnake_prod,4203081211
shared0-flowsnakeworkerprod1-20-ph2.ops.sfdc.net,10.226.198.90/29,10.178.98.32/27,d45-01,ph2-flowsnake_prod,4203061210
shared0-flowsnakeworkerprod1-21-ph2.ops.sfdc.net,10.226.198.8/28,10.178.99.64/27,e43-01,ph2-flowsnake_prod,4203031205
shared0-flowsnakeworkerprod1-22-ph2.ops.sfdc.net,10.226.198.9/28,10.178.99.96/27,e43-01,ph2-flowsnake_prod,4203031205
shared0-flowsnakeworkerprod1-23-ph2.ops.sfdc.net,10.226.198.2/28,10.178.99.128/27,e43-01,ph2-flowsnake_prod,4203031205
shared0-flowsnakeworkerprod1-24-ph2.ops.sfdc.net,10.226.198.99/29,10.178.104.96/27,f66-01,ph2-flowsnake_prod,4203071212
shared0-flowsnakeworkerprod1-25-ph2.ops.sfdc.net,10.226.198.24/28,10.178.101.0/27,e44-01,ph2-flowsnake_prod,4203031207
shared0-flowsnakeworkerprod1-26-ph2.ops.sfdc.net,10.226.198.40/28,10.178.96.128/27,c29-01,ph2-flowsnake_prod,4203051215
