Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samcaas1-caasminion1-1-phx.ops.sfdc.net,10.246.107.42/29,10.214.200.224/27,x09-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-10-phx.ops.sfdc.net,10.220.77.66/29,10.214.201.224/27,d32-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-2-phx.ops.sfdc.net,10.246.107.26/29,10.214.201.32/27,y04-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-3-phx.ops.sfdc.net,10.246.107.2/29,10.214.200.160/27,w55-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-4-phx.ops.sfdc.net,10.246.107.3/29,10.214.200.192/27,w55-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-5-phx.ops.sfdc.net,10.220.77.74/29,10.214.202.0/27,d44-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-6-phx.ops.sfdc.net,10.220.77.82/29,10.214.201.192/27,d26-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-7-phx.ops.sfdc.net,10.220.77.90/29,10.214.202.32/27,r28-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-8-phx.ops.sfdc.net,10.220.77.98/29,10.214.202.96/27,s28-01,phx-sp1-sam_caas,65009
samcaas1-caasminion1-9-phx.ops.sfdc.net,10.220.77.106/29,10.214.201.160/27,aa41-02,phx-sp1-sam_caas,65009
samcaas1-caasminion2-1-phx.ops.sfdc.net,10.246.107.50/29,10.214.200.64/27,w23-01,phx-sp1-sam_caas,65009
samcaas1-caasminion2-10-phx.ops.sfdc.net,10.220.77.114/29,10.214.201.64/27,aa40-02,phx-sp1-sam_caas,65009
samcaas1-caasminion2-2-phx.ops.sfdc.net,10.246.107.10/29,10.214.200.0/27,v46-01,phx-sp1-sam_caas,65009
samcaas1-caasminion2-3-phx.ops.sfdc.net,10.246.107.11/29,10.214.200.32/27,v46-01,phx-sp1-sam_caas,65009
samcaas1-caasminion2-4-phx.ops.sfdc.net,10.220.77.122/29,10.214.202.64/27,s05-01,phx-sp1-sam_caas,65009
samcaas1-caasminion2-5-phx.ops.sfdc.net,10.220.77.115/29,10.214.201.96/27,aa40-02,phx-sp1-sam_caas,65009
