Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
shared0-samcompute1-1-ph2.ops.sfdc.net,10.226.230.130/29,10.163.128.160/27,d42-01,ph2-sam
shared0-samcompute1-2-ph2.ops.sfdc.net,10.226.230.131/29,10.163.128.192/27,d42-01,ph2-sam
shared0-samcompute2-1-ph2.ops.sfdc.net,10.226.230.138/29,10.163.128.64/27,c45-01,ph2-sam
shared0-samkubeapi1-1-ph2.ops.sfdc.net,10.226.230.132/29,10.163.128.224/27,d42-01,ph2-sam
shared0-samkubeapi1-2-ph2.ops.sfdc.net,10.226.230.133/29,10.163.129.0/27,d42-01,ph2-sam
shared0-samkubeapi2-1-ph2.ops.sfdc.net,10.226.230.139/29,10.163.128.96/27,c45-01,ph2-sam
shared0-samkubeapi2-2-ph2.ops.sfdc.net,10.226.230.140/29,10.163.128.128/27,c45-01,ph2-sam
shared0-samkubeapi3-1-ph2.ops.sfdc.net,10.226.230.146/29,10.163.128.0/27,c43-01,ph2-sam
shared0-samkubeapi3-2-ph2.ops.sfdc.net,10.226.230.147/29,10.163.128.32/27,c43-01,ph2-sam
shared0-samminiongater1-1-ph2.ops.sfdc.net,10.226.137.66/29,10.163.130.64/27,f23-01,ph2-sam_gater
shared0-samminiongater1-2-ph2.ops.sfdc.net,10.226.137.67/29,10.163.130.96/27,f23-01,ph2-sam_gater
shared0-samminiongater1-3-ph2.ops.sfdc.net,10.226.137.68/29,10.163.130.128/27,f23-01,ph2-sam_gater
shared0-samminiongater2-1-ph2.ops.sfdc.net,10.226.137.74/29,10.163.130.0/27,d25-01,ph2-sam_gater
shared0-samminiongater2-2-ph2.ops.sfdc.net,10.226.137.75/29,10.163.130.32/27,d25-01,ph2-sam_gater
shared0-samminionpubdnsa1-1-ph2.ops.sfdc.net,10.226.149.130/29,10.163.131.64/27,c25-01,ph2-sam_pubdnsa
shared0-samminionpubdnsa1-2-ph2.ops.sfdc.net,10.226.149.138/29,10.163.131.96/27,d23-01,ph2-sam_pubdnsa
shared0-samminionpubdnsa2-1-ph2.ops.sfdc.net,10.226.149.146/29,10.163.131.32/27,c24-01,ph2-sam_pubdnsa
shared0-samminionpubdnsa2-2-ph2.ops.sfdc.net,10.226.149.154/29,10.163.131.0/27,c23-01,ph2-sam_pubdnsa
shared0-samminionpubdnsa3-1-ph2.ops.sfdc.net,10.226.149.162/29,10.163.131.128/27,f43-01,ph2-sam_pubdnsa
