Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-samkubeapi1-1-ia4.ops.sfdc.net,10.180.145.130/29,10.184.0.32/27,z22-01,ia4-sam,4205051204
shared0-samkubeapi1-2-ia4.ops.sfdc.net,10.180.145.131/29,10.184.0.64/27,z22-01,ia4-sam,4205051204
shared0-samkubeapi2-1-ia4.ops.sfdc.net,10.180.145.138/29,10.184.0.96/27,z23-01,ia4-sam,4205051206
shared0-samkubeapi2-2-ia4.ops.sfdc.net,10.180.145.139/29,10.184.0.128/27,z23-01,ia4-sam,4205051206
shared0-samkubeapi3-1-ia4.ops.sfdc.net,10.180.145.146/29,10.184.0.0/27,y03-01,ia4-sam,4205041205
shared0-samminiongater1-1-ia4.ops.sfdc.net,10.180.154.2/29,10.184.1.0/27,v04-01,ia4-sam_gater,4205071208
shared0-samminiongater1-2-ia4.ops.sfdc.net,10.180.154.3/29,10.184.1.32/27,v04-01,ia4-sam_gater,4205071208
shared0-samminiongater2-1-ia4.ops.sfdc.net,10.180.154.10/29,10.184.1.64/27,z21-01,ia4-sam_gater,4205051202
shared0-samminiongater2-2-ia4.ops.sfdc.net,10.180.154.11/29,10.184.1.96/27,z21-01,ia4-sam_gater,4205051202
shared0-samminiongater3-1-ia4.ops.sfdc.net,10.180.154.18/29,10.184.1.128/27,z22-01,ia4-sam_gater,4205051204
