Hostname,Eth1IP,Eth1Gw
shared0-samkubeapi1-1-cdu.ops.sfdc.net,10.169.49.7,10.169.49.1
shared0-samkubeapi1-2-cdu.ops.sfdc.net,10.169.49.6,10.169.49.1
shared0-samkubeapi2-1-cdu.ops.sfdc.net,10.169.49.4,10.169.49.1
shared0-samkubeapi2-2-cdu.ops.sfdc.net,10.169.49.5,10.169.49.1
shared0-samkubeapi3-1-cdu.ops.sfdc.net,10.169.49.8,10.169.49.1
shared0-samminiondatapool1-1-cdu.ops.sfdc.net,10.169.48.132,10.169.48.129
shared0-samminiondatapool1-2-cdu.ops.sfdc.net,10.169.48.134,10.169.48.129
shared0-samminiondatapool2-1-cdu.ops.sfdc.net,10.169.48.133,10.169.48.129
shared0-samminiongater1-1-cdu.ops.sfdc.net,10.169.50.10,10.169.50.1
shared0-samminiongater1-2-cdu.ops.sfdc.net,10.169.50.5,10.169.50.1
shared0-samminiongater1-3-cdu.ops.sfdc.net,10.169.50.11,10.169.50.1
shared0-samminiongater1-4-cdu.ops.sfdc.net,10.169.50.13,10.169.50.1
shared0-samminiongater1-5-cdu.ops.sfdc.net,10.169.50.7,10.169.50.1
shared0-samminiongater1-6-cdu.ops.sfdc.net,10.169.50.6,10.169.50.1
shared0-samminiongater2-1-cdu.ops.sfdc.net,10.169.50.12,10.169.50.1
shared0-samminiongater2-2-cdu.ops.sfdc.net,10.169.50.8,10.169.50.1
shared0-samminiongater2-3-cdu.ops.sfdc.net,10.169.50.9,10.169.50.1
shared0-samminiongater2-4-cdu.ops.sfdc.net,10.169.50.4,10.169.50.1
shared0-samminiongater2-5-cdu.ops.sfdc.net,10.169.50.14,10.169.50.1
shared0-samminionreportcollector1-1-cdu.ops.sfdc.net,10.169.48.5,10.169.48.1
shared0-samminionreportcollector2-1-cdu.ops.sfdc.net,10.169.48.6,10.169.48.1
shared0-samminionreportcollector3-1-cdu.ops.sfdc.net,10.169.48.4,10.169.48.1
shared0-samminionwarden1-1-cdu.ops.sfdc.net,10.169.52.6,10.169.52.1
shared0-samminionwarden2-1-cdu.ops.sfdc.net,10.169.52.4,10.169.52.1
shared0-samminionwarden3-1-cdu.ops.sfdc.net,10.169.52.5,10.169.52.1
shared0-sdncontrol1-1-cdu.ops.sfdc.net,10.221.154.4,10.221.154.1
shared0-sdncontrol1-2-cdu.ops.sfdc.net,10.221.154.6,10.221.154.1
shared0-sdncontrol1-3-cdu.ops.sfdc.net,10.221.154.5,10.221.154.1
