Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-samkubeapi1-1-syd.ops.sfdc.net,10.221.117.164/28,10.169.33.128/27,NONE,syd-sam,65009
shared0-samkubeapi1-2-syd.ops.sfdc.net,10.221.117.167/28,10.169.33.32/27,NONE,syd-sam,65009
shared0-samkubeapi2-1-syd.ops.sfdc.net,10.221.117.165/28,10.169.33.96/27,NONE,syd-sam,65009
shared0-samkubeapi2-2-syd.ops.sfdc.net,10.221.117.168/28,10.169.33.64/27,NONE,syd-sam,65009
shared0-samkubeapi3-1-syd.ops.sfdc.net,10.221.117.166/28,10.169.33.160/27,NONE,syd-sam,65009
shared0-samminiondatapool1-1-syd.ops.sfdc.net,10.221.124.20/28,10.169.32.32/27,NONE,syd-sam_datapool,65009
shared0-samminiondatapool1-2-syd.ops.sfdc.net,10.221.124.21/28,10.169.32.64/27,NONE,syd-sam_datapool,65009
shared0-samminiondatapool2-1-syd.ops.sfdc.net,10.221.124.22/28,10.169.32.96/27,NONE,syd-sam_datapool,65009
shared0-samminiongater1-1-syd.ops.sfdc.net,10.221.117.100/28,10.169.34.32/27,NONE,syd-sam_gater,65009
shared0-samminiongater1-2-syd.ops.sfdc.net,10.221.117.101/28,10.169.34.160/27,NONE,syd-sam_gater,65009
shared0-samminiongater1-3-syd.ops.sfdc.net,10.221.117.103/28,10.169.34.128/27,NONE,syd-sam_gater,65009
shared0-samminiongater1-4-syd.ops.sfdc.net,10.221.117.104/28,10.169.34.192/27,NONE,syd-sam_gater,65009
shared0-samminiongater1-5-syd.ops.sfdc.net,10.221.117.105/28,10.169.35.96/27,NONE,syd-sam_gater,65009
shared0-samminiongater1-6-syd.ops.sfdc.net,10.221.117.106/28,10.169.34.64/27,NONE,syd-sam_gater,65009
shared0-samminiongater2-1-syd.ops.sfdc.net,10.221.117.102/28,10.169.35.32/27,NONE,syd-sam_gater,65009
shared0-samminiongater2-2-syd.ops.sfdc.net,10.221.117.107/28,10.169.34.96/27,NONE,syd-sam_gater,65009
shared0-samminiongater2-3-syd.ops.sfdc.net,10.221.117.108/28,10.169.35.64/27,NONE,syd-sam_gater,65009
shared0-samminiongater2-4-syd.ops.sfdc.net,10.221.117.109/28,10.169.34.224/27,NONE,syd-sam_gater,65009
shared0-samminiongater2-5-syd.ops.sfdc.net,10.221.117.110/28,10.169.35.0/27,NONE,syd-sam_gater,65009
shared0-samminionreportcollector1-1-syd.ops.sfdc.net,10.221.117.4/28,10.221.127.224/27,NONE,syd-sam_report_collector,65009
shared0-samminionreportcollector2-1-syd.ops.sfdc.net,10.221.117.5/28,10.221.127.192/27,NONE,syd-sam_report_collector,65009
shared0-samminionreportcollector3-1-syd.ops.sfdc.net,10.221.117.6/28,10.221.127.160/27,NONE,syd-sam_report_collector,65009
shared0-samminionwarden1-1-syd.ops.sfdc.net,10.221.116.228/28,10.169.32.224/27,NONE,syd-sam_warden,65009
shared0-samminionwarden2-1-syd.ops.sfdc.net,10.221.116.229/28,10.169.32.160/27,NONE,syd-sam_warden,65009
shared0-samminionwarden3-1-syd.ops.sfdc.net,10.221.116.230/28,10.169.32.192/27,NONE,syd-sam_warden,65009
