Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-flowsnakemaster1-1-rd1.eng.sfdc.net,10.228.137.2/28,10.208.1.160/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakemaster2-1-rd1.eng.sfdc.net,10.228.137.18/28,10.208.3.64/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakemaster3-1-rd1.eng.sfdc.net,10.228.137.34/28,10.208.5.64/27,d42-01,rd1-flowsnake,4204021203
shared0-flowsnakemaster4-1-rd1.eng.sfdc.net,10.228.137.50/28,10.208.0.0/27,c41-01,rd1-flowsnake,4204021202
shared0-flowsnakemaster5-1-rd1.eng.sfdc.net,10.228.137.66/28,10.208.5.192/27,d43-01,rd1-flowsnake,4204021205
shared0-flowsnakeworker1-1-rd1.eng.sfdc.net,10.228.137.3/28,10.208.1.192/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-10-rd1.eng.sfdc.net,10.228.137.4/28,10.208.1.224/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-11-rd1.eng.sfdc.net,10.228.137.5/28,10.208.2.0/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-12-rd1.eng.sfdc.net,10.228.137.6/28,10.208.2.32/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-13-rd1.eng.sfdc.net,10.228.137.7/28,10.208.2.64/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-14-rd1.eng.sfdc.net,10.228.137.8/28,10.208.2.96/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-15-rd1.eng.sfdc.net,10.228.137.9/28,10.208.2.128/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-16-rd1.eng.sfdc.net,10.228.137.10/28,10.208.2.160/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-17-rd1.eng.sfdc.net,10.228.137.11/28,10.208.2.192/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-18-rd1.eng.sfdc.net,10.228.137.12/28,10.208.2.224/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-19-rd1.eng.sfdc.net,10.228.137.13/28,10.208.3.0/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-2-rd1.eng.sfdc.net,10.228.137.14/28,10.208.3.32/27,c42-01,rd1-flowsnake,4204021204
shared0-flowsnakeworker1-20-rd1.eng.sfdc.net,10.228.137.19/28,10.208.3.96/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakeworker1-21-rd1.eng.sfdc.net,10.228.137.20/28,10.208.3.128/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakeworker1-22-rd1.eng.sfdc.net,10.228.137.21/28,10.208.3.160/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakeworker1-23-rd1.eng.sfdc.net,10.228.137.22/28,10.208.3.192/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakeworker1-24-rd1.eng.sfdc.net,10.228.137.23/28,10.208.3.224/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakeworker1-25-rd1.eng.sfdc.net,10.228.137.24/28,10.208.4.0/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakeworker1-26-rd1.eng.sfdc.net,10.228.137.25/28,10.208.4.32/27,c43-01,rd1-flowsnake,4204021206
shared0-flowsnakeworker1-27-rd1.eng.sfdc.net,10.228.137.26/28,10.208.4.64/27,c43-01,rd1-flowsnake,4204021206
