Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samcaas1-caasminion1-1-cdg.ops.sfdc.net,10.211.163.36/28,10.229.146.128/27,b47-01,cdg-sp1-sam_caas,4203051215
samcaas1-caasminion1-10-cdg.ops.sfdc.net,10.211.163.37/28,10.229.146.160/27,b47-01,cdg-sp1-sam_caas,4203051215
samcaas1-caasminion1-2-cdg.ops.sfdc.net,10.211.163.38/28,10.229.146.192/27,b47-01,cdg-sp1-sam_caas,4203051215
samcaas1-caasminion1-3-cdg.ops.sfdc.net,10.211.163.39/28,10.229.146.224/27,b47-01,cdg-sp1-sam_caas,4203051215
samcaas1-caasminion1-4-cdg.ops.sfdc.net,10.211.163.34/28,10.229.147.0/27,b47-01,cdg-sp1-sam_caas,4203051215
samcaas1-caasminion1-5-cdg.ops.sfdc.net,10.211.163.35/28,10.229.147.32/27,b47-01,cdg-sp1-sam_caas,4203051215
samcaas1-caasminion1-6-cdg.ops.sfdc.net,10.211.163.50/29,10.229.147.64/27,b50-01,cdg-sp1-sam_caas,4203051211
samcaas1-caasminion1-7-cdg.ops.sfdc.net,10.211.163.53/29,10.229.147.96/27,b50-01,cdg-sp1-sam_caas,4203051211
samcaas1-caasminion1-8-cdg.ops.sfdc.net,10.211.163.51/29,10.229.147.128/27,b50-01,cdg-sp1-sam_caas,4203051211
samcaas1-caasminion1-9-cdg.ops.sfdc.net,10.211.163.52/29,10.229.147.160/27,b50-01,cdg-sp1-sam_caas,4203051211
samcaas1-caasminion2-1-cdg.ops.sfdc.net,10.211.163.2/28,10.229.145.32/27,a51-01,cdg-sp1-sam_caas,4203051210
samcaas1-caasminion2-10-cdg.ops.sfdc.net,10.211.163.7/28,10.229.145.64/27,a51-01,cdg-sp1-sam_caas,4203051210
samcaas1-caasminion2-2-cdg.ops.sfdc.net,10.211.163.3/28,10.229.145.96/27,a51-01,cdg-sp1-sam_caas,4203051210
samcaas1-caasminion2-3-cdg.ops.sfdc.net,10.211.163.4/28,10.229.145.128/27,a51-01,cdg-sp1-sam_caas,4203051210
samcaas1-caasminion2-4-cdg.ops.sfdc.net,10.211.163.8/28,10.229.145.160/27,a51-01,cdg-sp1-sam_caas,4203051210
samcaas1-caasminion2-5-cdg.ops.sfdc.net,10.211.163.60/29,10.229.144.0/27,a11-01,cdg-sp1-sam_caas,4203031210
samcaas1-caasminion2-6-cdg.ops.sfdc.net,10.211.163.58/29,10.229.144.32/27,a11-01,cdg-sp1-sam_caas,4203031210
samcaas1-caasminion2-7-cdg.ops.sfdc.net,10.211.163.59/29,10.229.144.64/27,a11-01,cdg-sp1-sam_caas,4203031210
samcaas1-caasminion2-8-cdg.ops.sfdc.net,10.211.163.5/28,10.229.145.192/27,a51-01,cdg-sp1-sam_caas,4203051210
samcaas1-caasminion2-9-cdg.ops.sfdc.net,10.211.163.6/28,10.229.145.224/27,a51-01,cdg-sp1-sam_caas,4203051210
samcaas1-caasminion3-1-cdg.ops.sfdc.net,10.211.163.19/28,10.229.144.96/27,a47-01,cdg-sp1-sam_caas,4203051216
samcaas1-caasminion3-10-cdg.ops.sfdc.net,10.211.163.22/28,10.229.144.128/27,a47-01,cdg-sp1-sam_caas,4203051216
samcaas1-caasminion3-2-cdg.ops.sfdc.net,10.211.163.75/29,10.229.146.0/27,b11-01,cdg-sp1-sam_caas,4203031209
samcaas1-caasminion3-3-cdg.ops.sfdc.net,10.211.163.74/29,10.229.146.32/27,b11-01,cdg-sp1-sam_caas,4203031209
samcaas1-caasminion3-4-cdg.ops.sfdc.net,10.211.163.23/28,10.229.144.160/27,a47-01,cdg-sp1-sam_caas,4203051216
samcaas1-caasminion3-5-cdg.ops.sfdc.net,10.211.163.21/28,10.229.144.192/27,a47-01,cdg-sp1-sam_caas,4203051216
samcaas1-caasminion3-6-cdg.ops.sfdc.net,10.211.163.20/28,10.229.144.224/27,a47-01,cdg-sp1-sam_caas,4203051216
samcaas1-caasminion3-7-cdg.ops.sfdc.net,10.211.163.18/28,10.229.145.0/27,a47-01,cdg-sp1-sam_caas,4203051216
samcaas1-caasminion3-8-cdg.ops.sfdc.net,10.211.163.66/29,10.229.146.64/27,b30-01,cdg-sp1-sam_caas,4203041211
samcaas1-caasminion3-9-cdg.ops.sfdc.net,10.211.163.67/29,10.229.146.96/27,b30-01,cdg-sp1-sam_caas,4203041211
samcaas2-caasminion1-1-cdg.ops.sfdc.net,10.211.184.2/29,10.229.157.0/27,f03-02,cdg-sp2-sam_caas,4203121206
samcaas2-caasminion1-2-cdg.ops.sfdc.net,10.211.184.3/29,10.229.157.32/27,f03-02,cdg-sp2-sam_caas,4203121206
samcaas2-caasminion1-3-cdg.ops.sfdc.net,10.211.184.4/29,10.229.157.64/27,f03-02,cdg-sp2-sam_caas,4203121206
samcaas2-caasminion2-1-cdg.ops.sfdc.net,10.211.184.10/29,10.229.157.96/27,g15-02,cdg-sp2-sam_caas,4203131227
samcaas2-caasminion2-2-cdg.ops.sfdc.net,10.211.184.11/29,10.229.157.128/27,g15-02,cdg-sp2-sam_caas,4203131227
samcaas2-caasminion2-3-cdg.ops.sfdc.net,10.211.184.12/29,10.229.157.160/27,g15-02,cdg-sp2-sam_caas,4203131227
samcaas2-caasminion3-1-cdg.ops.sfdc.net,10.211.184.18/29,10.229.157.192/27,h06-02,cdg-sp2-sam_caas,4203131212
samcaas2-caasminion3-2-cdg.ops.sfdc.net,10.211.184.19/29,10.229.157.224/27,h06-02,cdg-sp2-sam_caas,4203131212
samkingdomcaas0-caasminion1-1-cdg.ops.sfdc.net,10.211.129.194/29,10.229.140.160/27,y15-01,cdg-sam_kingdom_caas,4203061201
samkingdomcaas0-caasminion1-2-cdg.ops.sfdc.net,10.211.129.195/29,10.229.140.192/27,y15-01,cdg-sam_kingdom_caas,4203061201
samkingdomcaas0-caasminion1-3-cdg.ops.sfdc.net,10.211.129.196/29,10.229.140.224/27,y15-01,cdg-sam_kingdom_caas,4203061201
samkingdomcaas0-caasminion2-1-cdg.ops.sfdc.net,10.211.129.202/29,10.229.140.64/27,y14-01,cdg-sam_kingdom_caas,4203061203
samkingdomcaas0-caasminion2-2-cdg.ops.sfdc.net,10.211.129.203/29,10.229.140.96/27,y14-01,cdg-sam_kingdom_caas,4203061203
samkingdomcaas0-caasminion2-3-cdg.ops.sfdc.net,10.211.129.204/29,10.229.140.128/27,y14-01,cdg-sam_kingdom_caas,4203061203
samkingdomcaas0-caasminion3-1-cdg.ops.sfdc.net,10.211.129.210/29,10.229.140.0/27,b07-01,cdg-sam_kingdom_caas,4203031215
samkingdomcaas0-caasminion3-2-cdg.ops.sfdc.net,10.211.129.211/29,10.229.140.32/27,b07-01,cdg-sam_kingdom_caas,4203031215
shared0-samcompute1-1-cdg.ops.sfdc.net,10.211.136.130/29,10.229.130.160/27,a47-01,cdg-sam,4203051216
shared0-samcompute1-2-cdg.ops.sfdc.net,10.211.136.131/29,10.229.130.192/27,a47-01,cdg-sam,4203051216
shared0-samcompute2-1-cdg.ops.sfdc.net,10.211.136.138/29,10.229.130.64/27,a12-01,cdg-sam,4203031208
shared0-samkubeapi1-1-cdg.ops.sfdc.net,10.211.136.132/29,10.229.130.224/27,a47-01,cdg-sam,4203051216
shared0-samkubeapi1-2-cdg.ops.sfdc.net,10.211.136.133/29,10.229.131.0/27,a47-01,cdg-sam,4203051216
shared0-samkubeapi2-1-cdg.ops.sfdc.net,10.211.136.139/29,10.229.130.96/27,a12-01,cdg-sam,4203031208
shared0-samkubeapi2-2-cdg.ops.sfdc.net,10.211.136.140/29,10.229.130.128/27,a12-01,cdg-sam,4203031208
shared0-samkubeapi3-1-cdg.ops.sfdc.net,10.211.136.146/29,10.229.130.0/27,a10-01,cdg-sam,4203031212
shared0-samkubeapi3-2-cdg.ops.sfdc.net,10.211.136.147/29,10.229.130.32/27,a10-01,cdg-sam,4203031212
shared0-samminionaqueduct1-1-cdg.ops.sfdc.net,10.211.166.250/29,10.229.154.64/27,f35-01,cdg-sam_eventbus,4203081201
shared0-samminionaqueduct1-2-cdg.ops.sfdc.net,10.211.166.242/29,10.229.154.160/27,y15-01,cdg-sam_eventbus,4203061201
shared0-samminionaqueduct1-3-cdg.ops.sfdc.net,10.211.166.243/29,10.229.154.192/27,y15-01,cdg-sam_eventbus,4203061201
shared0-samminionaqueduct2-1-cdg.ops.sfdc.net,10.211.166.234/29,10.229.154.96/27,b52-01,cdg-sam_eventbus,4203051207
shared0-samminionaqueduct2-2-cdg.ops.sfdc.net,10.211.166.235/29,10.229.154.128/27,b52-01,cdg-sam_eventbus,4203051207
shared0-samminionaqueduct3-1-cdg.ops.sfdc.net,10.211.165.234/29,10.229.154.0/27,z15-01,cdg-sam_eventbus,4203061202
shared0-samminionaqueduct3-2-cdg.ops.sfdc.net,10.211.165.235/29,10.229.154.32/27,z15-01,cdg-sam_eventbus,4203061202
shared0-samminiondatapool1-1-cdg.ops.sfdc.net,10.211.192.34/29,10.229.148.0/27,a52-01,cdg-sam_datapool,4203051208
shared0-samminiondatapool1-2-cdg.ops.sfdc.net,10.211.162.90/29,10.229.148.64/27,b50-01,cdg-sam_datapool,4203051211
shared0-samminiondatapool2-1-cdg.ops.sfdc.net,10.211.162.82/29,10.229.148.32/27,b52-01,cdg-sam_datapool,4203051207
shared0-samminiondp1-1-cdg.ops.sfdc.net,10.211.166.194/29,10.229.153.0/27,y15-01,cdg-sam_dp,4203061201
shared0-samminiondp1-2-cdg.ops.sfdc.net,10.211.166.195/29,10.229.153.32/27,y15-01,cdg-sam_dp,4203061201
shared0-samminiondp2-1-cdg.ops.sfdc.net,10.211.166.202/29,10.229.153.64/27,z15-01,cdg-sam_dp,4203061202
shared0-samminiongater1-1-cdg.ops.sfdc.net,10.211.230.2/29,10.229.128.0/27,z13-01,cdg-sam_gater,4203061206
shared0-samminiongater1-2-cdg.ops.sfdc.net,10.211.230.3/29,10.229.128.32/27,z13-01,cdg-sam_gater,4203061206
