Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-flowsnakemasterprod1-1-par.ops.sfdc.net,10.249.186.162/28,10.249.100.32/27,j12-01,par-flowsnake_prod,65009
shared0-flowsnakemasterprod1-2-par.ops.sfdc.net,10.249.186.178/28,10.249.97.32/27,b04-02,par-flowsnake_prod,65009
shared0-flowsnakemasterprod1-3-par.ops.sfdc.net,10.249.186.194/28,10.249.98.160/27,b12-02,par-flowsnake_prod,65009
shared0-flowsnakemasterprod1-4-par.ops.sfdc.net,10.249.186.210/28,10.249.99.0/27,f04-01,par-flowsnake_prod,65009
shared0-flowsnakemasterprod1-5-par.ops.sfdc.net,10.249.186.226/28,10.249.96.192/27,a11-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-1-par.ops.sfdc.net,10.249.186.2/28,10.249.99.224/27,j11-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-10-par.ops.sfdc.net,10.249.186.18/28,10.249.98.96/27,b11-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-11-par.ops.sfdc.net,10.249.186.34/28,10.249.100.224/27,m17-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-12-par.ops.sfdc.net,10.249.186.50/28,10.249.96.128/27,a10-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-13-par.ops.sfdc.net,10.249.186.66/28,10.249.96.32/27,a08-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-14-par.ops.sfdc.net,10.249.186.82/28,10.249.101.96/27,n15-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-15-par.ops.sfdc.net,10.249.186.98/28,10.249.99.160/27,j10-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-16-par.ops.sfdc.net,10.249.186.114/28,10.249.98.32/27,b10-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-17-par.ops.sfdc.net,10.249.186.130/28,10.249.97.128/27,b06-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-18-par.ops.sfdc.net,10.249.186.146/28,10.249.101.32/27,n14-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-19-par.ops.sfdc.net,10.249.186.163/28,10.249.100.64/27,j12-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-2-par.ops.sfdc.net,10.249.186.179/28,10.249.97.64/27,b04-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-20-par.ops.sfdc.net,10.249.186.195/28,10.249.98.192/27,b12-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-21-par.ops.sfdc.net,10.249.186.211/28,10.249.99.32/27,f04-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-22-par.ops.sfdc.net,10.249.186.227/28,10.249.96.224/27,a11-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-23-par.ops.sfdc.net,10.249.186.242/28,10.249.98.224/27,e17-01,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-24-par.ops.sfdc.net,10.249.187.2/28,10.249.96.96/27,a09-02,par-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-25-par.ops.sfdc.net,10.249.187.18/28,10.249.100.160/27,k09-01,par-flowsnake_prod,65009
