Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-flowsnakemasterprod1-1-dfw.ops.sfdc.net,10.247.119.106/28,10.235.5.192/27,l34-01,dfw-flowsnake_prod,65009
shared0-flowsnakemasterprod2-1-dfw.ops.sfdc.net,10.247.119.66/29,10.235.2.64/27,b02-01,dfw-flowsnake_prod,65009
shared0-flowsnakemasterprod3-1-dfw.ops.sfdc.net,10.247.119.114/29,10.235.6.224/27,n12-01,dfw-flowsnake_prod,65009
shared0-flowsnakemasterprod4-1-dfw.ops.sfdc.net,10.247.119.18/29,10.235.8.160/27,y02-01,dfw-flowsnake_prod,65009
shared0-flowsnakemasterprod5-1-dfw.ops.sfdc.net,10.247.119.26/29,10.235.2.96/27,b19-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-1-dfw.ops.sfdc.net,10.247.119.45/28,10.235.2.128/27,b19-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-10-dfw.ops.sfdc.net,10.247.119.62/28,10.235.0.160/27,b02-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-100-dfw.ops.sfdc.net,10.220.225.82/29,10.235.10.96/27,b01-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-11-dfw.ops.sfdc.net,10.247.119.85/28,10.235.4.32/27,d03-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-12-dfw.ops.sfdc.net,10.247.119.12/28,10.235.7.0/27,y02-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-13-dfw.ops.sfdc.net,10.247.119.105/28,10.235.5.224/27,l34-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-14-dfw.ops.sfdc.net,10.247.119.94/28,10.235.4.64/27,d03-01,dfw-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-15-dfw.ops.sfdc.net,10.247.119.7/28,10.235.7.32/27,y02-01,dfw-flowsnake_prod,65009
