Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samkingdomcaas0-caasminion1-1-xrd.eng.sfdc.net,10.210.152.10/29,10.229.36.160/27,m08-02,xrd-sam_kingdom_caas,65009
samkingdomcaas0-caasminion1-2-xrd.eng.sfdc.net,10.210.152.11/29,10.229.36.192/27,m08-02,xrd-sam_kingdom_caas,65009
samkingdomcaas0-caasminion2-1-xrd.eng.sfdc.net,10.210.152.2/29,10.229.36.64/27,j14-02,xrd-sam_kingdom_caas,65009
samkingdomcaas0-caasminion3-1-xrd.eng.sfdc.net,10.210.152.18/29,10.229.36.0/27,f04-02,xrd-sam_kingdom_caas,65009
shared-samminionsdstools1-1-xrd.eng.sfdc.net,10.210.152.227/29,10.229.15.128/27,e06-02,xrd-sdstools,65009
shared-samminionsdstools1-2-xrd.eng.sfdc.net,10.210.152.235/29,10.229.15.192/27,m04-02,xrd-sdstools,65009
shared-samminionsdstools2-1-xrd.eng.sfdc.net,10.210.152.226/29,10.229.15.160/27,e06-02,xrd-sdstools,65009
shared-samminionsdstools2-2-xrd.eng.sfdc.net,10.210.152.234/29,10.229.15.224/27,m04-02,xrd-sdstools,65009
shared-samminionsdstoolsdev1-1-xrd.eng.sfdc.net,10.210.152.210/29,10.229.48.0/27,k04-02,xrd-sdstoolsdev,65009
shared0-samcompute1-1-xrd.eng.sfdc.net,10.210.202.66/28,10.229.0.128/27,c05-02,xrd-sam,65009
shared0-samcompute1-2-xrd.eng.sfdc.net,10.210.202.82/28,10.229.0.160/27,r11-02,xrd-sam,65009
shared0-samcompute2-1-xrd.eng.sfdc.net,10.210.202.2/28,10.229.0.96/27,b08-02,xrd-sam,65009
shared0-samkubeapi1-1-xrd.eng.sfdc.net,10.210.202.18/28,10.229.0.0/27,a06-02,xrd-sam,65009
shared0-samkubeapi1-2-xrd.eng.sfdc.net,10.210.202.67/28,10.229.0.224/27,c05-02,xrd-sam,65009
shared0-samkubeapi1-3-xrd.eng.sfdc.net,10.210.202.68/28,10.229.1.0/27,c05-02,xrd-sam,65009
shared0-samkubeapi2-1-xrd.eng.sfdc.net,10.210.202.34/28,10.229.0.64/27,b07-02,xrd-sam,65009
shared0-samkubeapi2-2-xrd.eng.sfdc.net,10.210.202.83/28,10.229.1.32/27,r11-02,xrd-sam,65009
shared0-samkubeapi3-1-xrd.eng.sfdc.net,10.210.202.50/28,10.229.0.32/27,b04-02,xrd-sam,65009
shared0-samkubeapi3-2-xrd.eng.sfdc.net,10.210.202.51/28,10.229.0.192/27,b04-02,xrd-sam,65009
shared0-samminionaqueduct1-1-xrd.eng.sfdc.net,10.210.154.90/29,10.229.50.96/27,f12-02,xrd-sam_eventbus,65009
shared0-samminionaqueduct1-2-xrd.eng.sfdc.net,10.210.154.74/29,10.229.50.128/27,m07-02,xrd-sam_eventbus,65009
shared0-samminionaqueduct1-3-xrd.eng.sfdc.net,10.210.154.82/29,10.229.50.224/27,t21-01,xrd-sam_eventbus,65009
shared0-samminionaqueduct1-4-xrd.eng.sfdc.net,10.210.154.66/29,10.229.50.0/27,d11-02,xrd-sam_eventbus,65009
shared0-samminionaqueduct2-1-xrd.eng.sfdc.net,10.210.154.67/29,10.229.50.32/27,d11-02,xrd-sam_eventbus,65009
shared0-samminionaqueduct2-2-xrd.eng.sfdc.net,10.210.154.75/29,10.229.50.160/27,m07-02,xrd-sam_eventbus,65009
shared0-samminionaqueduct2-3-xrd.eng.sfdc.net,10.210.154.83/29,10.229.51.0/27,t21-01,xrd-sam_eventbus,65009
shared0-samminionaqueduct3-1-xrd.eng.sfdc.net,10.210.154.84/29,10.229.51.32/27,t21-01,xrd-sam_eventbus,65009
shared0-samminionaqueduct3-2-xrd.eng.sfdc.net,10.210.154.76/29,10.229.50.192/27,m07-02,xrd-sam_eventbus,65009
shared0-samminionaqueduct3-3-xrd.eng.sfdc.net,10.210.154.68/29,10.229.50.64/27,d11-02,xrd-sam_eventbus,65009
shared0-samminionatlasdir1-1-xrd.eng.sfdc.net,10.210.213.2/29,10.229.12.32/27,d04-02,xrd-sam_cloudatlas_dir,65009
shared0-samminionatlasdir1-2-xrd.eng.sfdc.net,10.210.213.10/29,10.229.12.0/27,b12-02,xrd-sam_cloudatlas_dir,65009
shared0-samminionatlasdir2-1-xrd.eng.sfdc.net,10.210.213.18/29,10.229.12.64/27,r04-02,xrd-sam_cloudatlas_dir,65009
shared0-samminionatlasfe1-1-xrd.eng.sfdc.net,10.210.205.194/29,10.229.6.32/27,d04-02,xrd-sam_cloudatlas,65009
shared0-samminionatlasfe1-2-xrd.eng.sfdc.net,10.210.205.203/29,10.229.6.64/27,b12-02,xrd-sam_cloudatlas,65009
shared0-samminionatlasfe2-1-xrd.eng.sfdc.net,10.210.205.210/29,10.229.6.0/27,a06-02,xrd-sam_cloudatlas,65009
shared0-samminionceph1-1-xrd.eng.sfdc.net,10.210.206.34/28,10.229.23.192/27,p08-02,xrd-sam_ceph,65009
shared0-samminionceph1-10-xrd.eng.sfdc.net,10.210.212.114/28,10.229.20.128/27,j13-02,xrd-sam_ceph,65009
shared0-samminionceph1-11-xrd.eng.sfdc.net,10.210.207.194/28,10.229.25.64/27,q09-02,xrd-sam_ceph,65009
shared0-samminionceph1-12-xrd.eng.sfdc.net,10.210.207.242/28,10.229.16.128/27,c01-02,xrd-sam_ceph,65009
shared0-samminionceph1-13-xrd.eng.sfdc.net,10.210.207.130/28,10.229.21.32/27,m03-02,xrd-sam_ceph,65009
shared0-samminionceph1-14-xrd.eng.sfdc.net,10.210.206.114/28,10.229.21.96/27,m07-02,xrd-sam_ceph,65009
shared0-samminionceph1-15-xrd.eng.sfdc.net,10.210.207.2/28,10.229.17.32/27,d03-02,xrd-sam_ceph,65009
shared0-samminionceph1-16-xrd.eng.sfdc.net,10.210.212.50/28,10.229.19.32/27,g01-02,xrd-sam_ceph,65009
shared0-samminionceph1-17-xrd.eng.sfdc.net,10.210.207.50/28,10.229.19.160/27,g09-02,xrd-sam_ceph,65009
shared0-samminionceph1-18-xrd.eng.sfdc.net,10.210.212.210/28,10.229.20.192/27,a02-02,xrd-sam_ceph,65009
shared0-samminionceph1-19-xrd.eng.sfdc.net,10.210.212.82/28,10.229.18.32/27,e01-02,xrd-sam_ceph,65009
shared0-samminionceph1-2-xrd.eng.sfdc.net,10.210.206.35/28,10.229.23.224/27,p08-02,xrd-sam_ceph,65009
shared0-samminionceph1-20-xrd.eng.sfdc.net,10.210.207.210/28,10.229.16.224/27,c10-02,xrd-sam_ceph,65009
shared0-samminionceph1-21-xrd.eng.sfdc.net,10.210.207.98/28,10.229.24.192/27,q01-02,xrd-sam_ceph,65009
shared0-samminionceph1-22-xrd.eng.sfdc.net,10.210.206.194/28,10.229.22.224/27,n10-02,xrd-sam_ceph,65009
shared0-samminionceph1-23-xrd.eng.sfdc.net,10.210.207.243/28,10.229.16.160/27,c01-02,xrd-sam_ceph,65009
shared0-samminionceph1-24-xrd.eng.sfdc.net,10.210.212.162/28,10.229.16.192/27,c05-02,xrd-sam_ceph,65009
shared0-samminionceph1-25-xrd.eng.sfdc.net,10.210.206.115/28,10.229.21.128/27,m07-02,xrd-sam_ceph,65009
shared0-samminionceph1-26-xrd.eng.sfdc.net,10.210.206.195/28,10.229.23.0/27,n10-02,xrd-sam_ceph,65009
shared0-samminionceph1-27-xrd.eng.sfdc.net,10.210.212.83/28,10.229.18.64/27,e01-02,xrd-sam_ceph,65009
shared0-samminionceph1-28-xrd.eng.sfdc.net,10.210.207.3/28,10.229.17.64/27,d03-02,xrd-sam_ceph,65009
shared0-samminionceph1-29-xrd.eng.sfdc.net,10.210.207.99/28,10.229.24.224/27,q01-02,xrd-sam_ceph,65009
shared0-samminionceph1-3-xrd.eng.sfdc.net,10.210.207.131/28,10.229.21.64/27,m03-02,xrd-sam_ceph,65009
shared0-samminionceph1-30-xrd.eng.sfdc.net,10.210.207.211/28,10.229.17.0/27,c10-02,xrd-sam_ceph,65009
shared0-samminionceph1-4-xrd.eng.sfdc.net,10.210.212.51/28,10.229.19.64/27,g01-02,xrd-sam_ceph,65009
shared0-samminionceph1-5-xrd.eng.sfdc.net,10.210.212.115/28,10.229.20.160/27,j13-02,xrd-sam_ceph,65009
shared0-samminionceph1-6-xrd.eng.sfdc.net,10.210.206.18/28,10.229.20.0/27,j02-02,xrd-sam_ceph,65009
