Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samcaas1-caasminion1-1-rd1.eng.sfdc.net,10.228.136.130/29,10.165.8.96/27,c43-01,rd1-sp1-sam_caas,4204021206
samcaas1-caasminion1-2-rd1.eng.sfdc.net,10.228.136.131/29,10.165.8.128/27,c43-01,rd1-sp1-sam_caas,4204021206
samcaas1-caasminion1-3-rd1.eng.sfdc.net,10.228.136.132/29,10.165.8.160/27,c43-01,rd1-sp1-sam_caas,4204021206
samcaas1-caasminion1-4-rd1.eng.sfdc.net,10.228.136.133/29,10.165.8.192/27,c43-01,rd1-sp1-sam_caas,4204021206
samcaas1-caasminion1-5-rd1.eng.sfdc.net,10.228.136.134/29,10.165.8.224/27,c43-01,rd1-sp1-sam_caas,4204021206
samcaas1-caasminion1-6-rd1.eng.sfdc.net,10.228.136.138/29,10.165.8.0/27,c41-01,rd1-sp1-sam_caas,4204021202
samcaas1-caasminion1-7-rd1.eng.sfdc.net,10.228.136.139/29,10.165.8.32/27,c41-01,rd1-sp1-sam_caas,4204021202
samcaas1-caasminion2-1-rd1.eng.sfdc.net,10.228.136.146/29,10.165.9.224/27,d43-01,rd1-sp1-sam_caas,4204021205
samcaas1-caasminion2-2-rd1.eng.sfdc.net,10.228.136.147/29,10.165.10.0/27,d43-01,rd1-sp1-sam_caas,4204021205
samcaas1-caasminion2-3-rd1.eng.sfdc.net,10.228.136.148/29,10.165.10.32/27,d43-01,rd1-sp1-sam_caas,4204021205
samcaas1-caasminion2-4-rd1.eng.sfdc.net,10.228.136.149/29,10.165.10.64/27,d43-01,rd1-sp1-sam_caas,4204021205
samcaas1-caasminion2-5-rd1.eng.sfdc.net,10.228.136.150/29,10.165.10.96/27,d43-01,rd1-sp1-sam_caas,4204021205
samcaas1-caasminion2-6-rd1.eng.sfdc.net,10.228.136.154/29,10.165.9.0/27,d41-01,rd1-sp1-sam_caas,4204021201
samcaas1-caasminion2-7-rd1.eng.sfdc.net,10.228.136.155/29,10.165.9.32/27,d41-01,rd1-sp1-sam_caas,4204021201
samcaas1-caasminion3-1-rd1.eng.sfdc.net,10.228.136.162/29,10.165.9.64/27,d42-01,rd1-sp1-sam_caas,4204021203
samcaas1-caasminion3-2-rd1.eng.sfdc.net,10.228.136.163/29,10.165.9.96/27,d42-01,rd1-sp1-sam_caas,4204021203
samcaas1-caasminion3-3-rd1.eng.sfdc.net,10.228.136.164/29,10.165.9.128/27,d42-01,rd1-sp1-sam_caas,4204021203
samcaas1-caasminion3-4-rd1.eng.sfdc.net,10.228.136.165/29,10.165.9.160/27,d42-01,rd1-sp1-sam_caas,4204021203
samcaas1-caasminion3-5-rd1.eng.sfdc.net,10.228.136.166/29,10.165.9.192/27,d42-01,rd1-sp1-sam_caas,4204021203
samcaas1-caasminion3-6-rd1.eng.sfdc.net,10.228.136.170/29,10.165.8.64/27,c42-01,rd1-sp1-sam_caas,4204021204
samkingdomcaas0-caasminion1-1-rd1.eng.sfdc.net,10.228.141.34/29,10.165.1.32/27,c43-01,rd1-sam_kingdom_caas,4204021206
samkingdomcaas0-caasminion1-2-rd1.eng.sfdc.net,10.228.141.35/29,10.165.1.64/27,c43-01,rd1-sam_kingdom_caas,4204021206
samkingdomcaas0-caasminion2-1-rd1.eng.sfdc.net,10.228.141.42/29,10.165.1.0/27,c41-01,rd1-sam_kingdom_caas,4204021202
samkingdomcaas0-caasminion3-1-rd1.eng.sfdc.net,10.228.141.50/29,10.165.1.96/27,d43-01,rd1-sam_kingdom_caas,4204021205
shared0-samcompute1-1-rd1.eng.sfdc.net,10.228.134.194/29,10.165.2.128/27,d41-01,rd1-sam,4204021201
shared0-samcompute1-2-rd1.eng.sfdc.net,10.228.134.195/29,10.165.2.160/27,d41-01,rd1-sam,4204021201
shared0-samcompute2-1-rd1.eng.sfdc.net,10.228.134.202/29,10.165.2.32/27,c43-01,rd1-sam,4204021206
shared0-samkubeapi1-1-rd1.eng.sfdc.net,10.228.134.196/29,10.165.2.192/27,d41-01,rd1-sam,4204021201
shared0-samkubeapi1-2-rd1.eng.sfdc.net,10.228.134.197/29,10.165.2.224/27,d41-01,rd1-sam,4204021201
shared0-samkubeapi2-1-rd1.eng.sfdc.net,10.228.134.203/29,10.165.2.64/27,c43-01,rd1-sam,4204021206
shared0-samkubeapi2-2-rd1.eng.sfdc.net,10.228.134.204/29,10.165.2.96/27,c43-01,rd1-sam,4204021206
shared0-samkubeapi3-1-rd1.eng.sfdc.net,10.228.134.210/29,10.165.2.0/27,c41-01,rd1-sam,4204021202
shared0-samminiongater1-1-rd1.eng.sfdc.net,10.228.140.66/29,10.165.4.64/27,d42-01,rd1-sam_gater,4204021203
shared0-samminiongater1-2-rd1.eng.sfdc.net,10.228.140.67/29,10.165.4.96/27,d42-01,rd1-sam_gater,4204021203
shared0-samminiongater1-3-rd1.eng.sfdc.net,10.228.140.68/29,10.165.4.128/27,d42-01,rd1-sam_gater,4204021203
shared0-samminiongater2-1-rd1.eng.sfdc.net,10.228.140.74/29,10.165.4.0/27,c41-01,rd1-sam_gater,4204021202
shared0-samminiongater2-2-rd1.eng.sfdc.net,10.228.140.75/29,10.165.4.32/27,c41-01,rd1-sam_gater,4204021202
shared0-samminionreportcollector1-1-rd1.eng.sfdc.net,10.228.141.2/29,10.165.0.0/27,c41-01,rd1-sam_report_collector,4204021202
shared0-samminionreportcollector2-1-rd1.eng.sfdc.net,10.228.141.10/29,10.165.0.64/27,d43-01,rd1-sam_report_collector,4204021205
shared0-samminionreportcollector3-1-rd1.eng.sfdc.net,10.228.141.18/29,10.165.0.32/27,c43-01,rd1-sam_report_collector,4204021206
