Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samcaas1-caasminion1-1-frf.ops.sfdc.net,10.248.141.66/29,10.214.60.96/27,b16-02,frf-sp1-sam_caas,65009
samcaas1-caasminion1-11-frf.ops.sfdc.net,10.248.231.106/29,10.214.61.224/27,b05-01,frf-sp1-sam_caas,65009
samcaas1-caasminion1-12-frf.ops.sfdc.net,10.248.231.107/29,10.214.62.0/27,b05-01,frf-sp1-sam_caas,65009
samcaas1-caasminion1-13-frf.ops.sfdc.net,10.248.231.99/29,10.214.63.128/27,f02-01,frf-sp1-sam_caas,65009
samcaas1-caasminion1-2-frf.ops.sfdc.net,10.248.141.67/29,10.214.60.128/27,b16-02,frf-sp1-sam_caas,65009
samcaas1-caasminion1-3-frf.ops.sfdc.net,10.248.141.106/29,10.214.60.0/27,a15-02,frf-sp1-sam_caas,65009
samcaas1-caasminion1-4-frf.ops.sfdc.net,10.248.141.90/29,10.214.60.64/27,b15-02,frf-sp1-sam_caas,65009
samcaas1-caasminion1-7-frf.ops.sfdc.net,10.248.231.98/29,10.214.63.160/27,f02-01,frf-sp1-sam_caas,65009
samcaas1-caasminion2-1-frf.ops.sfdc.net,10.248.141.74/29,10.214.60.160/27,c10-01,frf-sp1-sam_caas,65009
samcaas1-caasminion2-10-frf.ops.sfdc.net,10.248.141.76/29,10.214.62.32/27,c10-01,frf-sp1-sam_caas,65009
samcaas1-caasminion2-11-frf.ops.sfdc.net,10.248.141.77/29,10.214.62.64/27,c10-01,frf-sp1-sam_caas,65009
samcaas1-caasminion2-12-frf.ops.sfdc.net,10.248.141.125/29,10.214.61.96/27,a17-02,frf-sp1-sam_caas,65009
samcaas1-caasminion2-13-frf.ops.sfdc.net,10.248.141.126/29,10.214.61.128/27,a17-02,frf-sp1-sam_caas,65009
samcaas1-caasminion2-2-frf.ops.sfdc.net,10.248.141.122/29,10.214.60.32/27,a17-02,frf-sp1-sam_caas,65009
samcaas1-caasminion2-3-frf.ops.sfdc.net,10.248.141.75/29,10.214.60.192/27,c10-01,frf-sp1-sam_caas,65009
samcaas1-caasminion2-4-frf.ops.sfdc.net,10.248.141.78/29,10.214.62.96/27,c10-01,frf-sp1-sam_caas,65009
samcaas1-caasminion2-5-frf.ops.sfdc.net,10.248.141.123/29,10.214.61.160/27,a17-02,frf-sp1-sam_caas,65009
samcaas1-caasminion2-6-frf.ops.sfdc.net,10.248.141.124/29,10.214.61.192/27,a17-02,frf-sp1-sam_caas,65009
samcaas1-caasminion2-7-frf.ops.sfdc.net,10.248.231.82/29,10.214.63.192/27,f04-01,frf-sp1-sam_caas,65009
samcaas1-caasminion2-8-frf.ops.sfdc.net,10.248.231.83/29,10.214.63.224/27,f04-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-1-frf.ops.sfdc.net,10.248.141.100/29,10.214.60.224/27,c14-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-10-frf.ops.sfdc.net,10.248.231.69/29,10.214.63.0/27,f01-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-11-frf.ops.sfdc.net,10.248.231.90/29,10.214.62.192/27,e17-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-12-frf.ops.sfdc.net,10.248.231.91/29,10.214.62.224/27,e17-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-2-frf.ops.sfdc.net,10.248.141.82/29,10.214.61.32/27,k04-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-3-frf.ops.sfdc.net,10.248.141.114/29,10.214.61.0/27,e14-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-4-frf.ops.sfdc.net,10.248.231.66/29,10.214.63.32/27,f01-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-5-frf.ops.sfdc.net,10.248.231.67/29,10.214.63.64/27,f01-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-6-frf.ops.sfdc.net,10.248.231.68/29,10.214.63.96/27,f01-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-7-frf.ops.sfdc.net,10.248.141.98/29,10.214.62.128/27,c14-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-8-frf.ops.sfdc.net,10.248.141.99/29,10.214.62.160/27,c14-01,frf-sp1-sam_caas,65009
samcaas1-caasminion3-9-frf.ops.sfdc.net,10.248.231.122/29,10.214.61.64/27,a03-01,frf-sp1-sam_caas,65009
samkingdomcaas0-caasminion1-1-frf.ops.sfdc.net,10.248.193.66/29,10.214.48.64/27,d01-03,frf-sam_kingdom_caas,65009
samkingdomcaas0-caasminion1-2-frf.ops.sfdc.net,10.248.193.67/29,10.214.48.96/27,d01-03,frf-sam_kingdom_caas,65009
samkingdomcaas0-caasminion2-1-frf.ops.sfdc.net,10.248.193.74/29,10.214.48.160/27,d19-01,frf-sam_kingdom_caas,65009
samkingdomcaas0-caasminion3-1-frf.ops.sfdc.net,10.248.193.82/29,10.214.48.0/27,c06-02,frf-sam_kingdom_caas,65009
shared0-samcompute1-1-frf.ops.sfdc.net,10.248.176.18/28,10.214.0.0/27,a15-02,frf-sam,65009
shared0-samcompute1-2-frf.ops.sfdc.net,10.248.176.34/28,10.214.0.128/27,b15-02,frf-sam,65009
shared0-samcompute2-1-frf.ops.sfdc.net,10.248.176.10/28,10.214.0.64/27,a17-02,frf-sam,65009
shared0-samkubeapi1-1-frf.ops.sfdc.net,10.248.176.35/28,10.214.0.160/27,b15-02,frf-sam,65009
shared0-samkubeapi1-2-frf.ops.sfdc.net,10.248.176.50/29,10.214.0.224/27,k14-02,frf-sam,65009
shared0-samkubeapi2-1-frf.ops.sfdc.net,10.248.176.11/28,10.214.0.96/27,a17-02,frf-sam,65009
shared0-samkubeapi2-2-frf.ops.sfdc.net,10.248.176.58/29,10.214.0.192/27,a19-01,frf-sam,65009
shared0-samkubeapi3-1-frf.ops.sfdc.net,10.248.176.19/28,10.214.0.32/27,a15-02,frf-sam,65009
shared0-samminionaqueduct1-1-frf.ops.sfdc.net,10.248.165.130/29,10.214.58.128/27,d01-03,frf-sam_eventbus,65009
shared0-samminionaqueduct1-2-frf.ops.sfdc.net,10.248.165.131/29,10.214.58.160/27,d01-03,frf-sam_eventbus,65009
shared0-samminionaqueduct1-3-frf.ops.sfdc.net,10.248.165.132/29,10.214.58.192/27,d01-03,frf-sam_eventbus,65009
shared0-samminionaqueduct2-1-frf.ops.sfdc.net,10.248.165.146/29,10.214.58.64/27,c09-02,frf-sam_eventbus,65009
shared0-samminionaqueduct2-2-frf.ops.sfdc.net,10.248.165.147/29,10.214.58.96/27,c09-02,frf-sam_eventbus,65009
shared0-samminionaqueduct3-1-frf.ops.sfdc.net,10.248.165.138/29,10.214.58.0/27,c06-02,frf-sam_eventbus,65009
shared0-samminionaqueduct3-2-frf.ops.sfdc.net,10.248.165.139/29,10.214.58.32/27,c06-02,frf-sam_eventbus,65009
shared0-samminionatlasdir1-1-frf.ops.sfdc.net,10.248.173.226/29,10.214.10.0/27,a17-01,frf-sam_cloudatlas_dir,65009
shared0-samminionatlasdir1-2-frf.ops.sfdc.net,10.248.173.234/29,10.214.10.64/27,d16-01,frf-sam_cloudatlas_dir,65009
shared0-samminionatlasdir2-1-frf.ops.sfdc.net,10.248.173.242/29,10.214.10.32/27,a19-01,frf-sam_cloudatlas_dir,65009
shared0-samminionatlasfe1-1-frf.ops.sfdc.net,10.248.173.194/29,10.214.8.32/27,d18-01,frf-sam_cloudatlas,65009
shared0-samminionatlasfe1-2-frf.ops.sfdc.net,10.248.173.203/29,10.214.8.64/27,a18-01,frf-sam_cloudatlas,65009
shared0-samminionatlasfe2-1-frf.ops.sfdc.net,10.248.173.202/29,10.214.8.0/27,a18-01,frf-sam_cloudatlas,65009
shared0-samminionceph1-1-frf.ops.sfdc.net,10.248.190.202/29,10.214.28.96/27,j07-02,frf-sam_ceph,65009
shared0-samminionceph1-10-frf.ops.sfdc.net,10.248.190.178/29,10.214.25.192/27,b03-03,frf-sam_ceph,65009
shared0-samminionceph1-11-frf.ops.sfdc.net,10.248.190.179/29,10.214.25.224/27,b03-03,frf-sam_ceph,65009
shared0-samminionceph1-12-frf.ops.sfdc.net,10.248.190.146/29,10.214.26.128/27,b05-03,frf-sam_ceph,65009
shared0-samminionceph1-13-frf.ops.sfdc.net,10.248.190.203/29,10.214.28.128/27,j07-02,frf-sam_ceph,65009
shared0-samminionceph1-14-frf.ops.sfdc.net,10.248.190.154/29,10.214.28.192/27,j11-02,frf-sam_ceph,65009
shared0-samminionceph1-15-frf.ops.sfdc.net,10.248.190.147/29,10.214.26.160/27,b05-03,frf-sam_ceph,65009
shared0-samminionceph1-16-frf.ops.sfdc.net,10.248.190.148/29,10.214.26.192/27,b05-03,frf-sam_ceph,65009
shared0-samminionceph1-17-frf.ops.sfdc.net,10.248.190.180/29,10.214.26.0/27,b03-03,frf-sam_ceph,65009
shared0-samminionceph1-2-frf.ops.sfdc.net,10.248.190.155/29,10.214.28.224/27,j11-02,frf-sam_ceph,65009
shared0-samminionceph1-3-frf.ops.sfdc.net,10.248.190.162/29,10.214.24.96/27,a02-03,frf-sam_ceph,65009
shared0-samminionceph1-4-frf.ops.sfdc.net,10.248.190.156/29,10.214.29.0/27,j11-02,frf-sam_ceph,65009
shared0-samminionceph1-5-frf.ops.sfdc.net,10.248.190.163/29,10.214.24.128/27,a02-03,frf-sam_ceph,65009
shared0-samminionceph1-6-frf.ops.sfdc.net,10.248.190.164/29,10.214.24.160/27,a02-03,frf-sam_ceph,65009
shared0-samminionceph1-7-frf.ops.sfdc.net,10.248.190.165/29,10.214.24.192/27,a02-03,frf-sam_ceph,65009
shared0-samminionceph1-8-frf.ops.sfdc.net,10.248.190.166/29,10.214.24.224/27,a02-03,frf-sam_ceph,65009
shared0-samminionceph1-9-frf.ops.sfdc.net,10.248.190.204/29,10.214.28.160/27,j07-02,frf-sam_ceph,65009
shared0-samminionceph2-1-frf.ops.sfdc.net,10.248.190.186/29,10.214.29.160/27,k14-02,frf-sam_ceph,65009
shared0-samminionceph2-10-frf.ops.sfdc.net,10.248.190.226/29,10.214.28.0/27,h18-02,frf-sam_ceph,65009
shared0-samminionceph2-11-frf.ops.sfdc.net,10.248.190.227/29,10.214.28.32/27,h18-02,frf-sam_ceph,65009
shared0-samminionceph2-12-frf.ops.sfdc.net,10.248.190.228/29,10.214.28.64/27,h18-02,frf-sam_ceph,65009
shared0-samminionceph2-13-frf.ops.sfdc.net,10.248.190.218/29,10.214.26.224/27,h09-02,frf-sam_ceph,65009
shared0-samminionceph2-14-frf.ops.sfdc.net,10.248.190.138/29,10.214.24.0/27,a01-03,frf-sam_ceph,65009
shared0-samminionceph2-15-frf.ops.sfdc.net,10.248.190.139/29,10.214.24.32/27,a01-03,frf-sam_ceph,65009
shared0-samminionceph2-16-frf.ops.sfdc.net,10.248.190.187/29,10.214.29.192/27,k14-02,frf-sam_ceph,65009
shared0-samminionceph2-17-frf.ops.sfdc.net,10.248.190.130/29,10.214.25.96/27,b02-03,frf-sam_ceph,65009
shared0-samminionceph2-2-frf.ops.sfdc.net,10.248.190.140/29,10.214.24.64/27,a01-03,frf-sam_ceph,65009
shared0-samminionceph2-3-frf.ops.sfdc.net,10.248.190.131/29,10.214.25.128/27,b02-03,frf-sam_ceph,65009
shared0-samminionceph2-4-frf.ops.sfdc.net,10.248.190.132/29,10.214.25.160/27,b02-03,frf-sam_ceph,65009
shared0-samminionceph2-5-frf.ops.sfdc.net,10.248.190.188/29,10.214.29.224/27,k14-02,frf-sam_ceph,65009
shared0-samminionceph2-6-frf.ops.sfdc.net,10.248.190.219/29,10.214.27.0/27,h09-02,frf-sam_ceph,65009
shared0-samminionceph2-7-frf.ops.sfdc.net,10.248.190.220/29,10.214.27.32/27,h09-02,frf-sam_ceph,65009
shared0-samminionceph2-8-frf.ops.sfdc.net,10.248.190.189/29,10.214.30.0/27,k14-02,frf-sam_ceph,65009
shared0-samminionceph2-9-frf.ops.sfdc.net,10.248.190.190/29,10.214.30.32/27,k14-02,frf-sam_ceph,65009
shared0-samminionceph3-1-frf.ops.sfdc.net,10.248.190.170/29,10.214.26.32/27,b04-03,frf-sam_ceph,65009
shared0-samminionceph3-10-frf.ops.sfdc.net,10.248.190.234/29,10.214.29.32/27,k13-02,frf-sam_ceph,65009
shared0-samminionceph3-11-frf.ops.sfdc.net,10.248.190.242/29,10.214.27.160/27,h17-02,frf-sam_ceph,65009
shared0-samminionceph3-12-frf.ops.sfdc.net,10.248.190.194/29,10.214.25.0/27,a03-03,frf-sam_ceph,65009
shared0-samminionceph3-13-frf.ops.sfdc.net,10.248.190.171/29,10.214.26.64/27,b04-03,frf-sam_ceph,65009
shared0-samminionceph3-14-frf.ops.sfdc.net,10.248.190.172/29,10.214.26.96/27,b04-03,frf-sam_ceph,65009
shared0-samminionceph3-15-frf.ops.sfdc.net,10.248.190.250/29,10.214.27.64/27,h10-02,frf-sam_ceph,65009
shared0-samminionceph3-16-frf.ops.sfdc.net,10.248.190.251/29,10.214.27.96/27,h10-02,frf-sam_ceph,65009
shared0-samminionceph3-2-frf.ops.sfdc.net,10.248.190.235/29,10.214.29.64/27,k13-02,frf-sam_ceph,65009
shared0-samminionceph3-3-frf.ops.sfdc.net,10.248.190.195/29,10.214.25.32/27,a03-03,frf-sam_ceph,65009
shared0-samminionceph3-4-frf.ops.sfdc.net,10.248.190.236/29,10.214.29.96/27,k13-02,frf-sam_ceph,65009
shared0-samminionceph3-5-frf.ops.sfdc.net,10.248.190.243/29,10.214.27.192/27,h17-02,frf-sam_ceph,65009
