Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
samcaas1-caasminion1-1-hnd.ops.sfdc.net,10.219.183.170/29,10.213.76.192/27,b10-02,hnd-sp1-sam_caas
samcaas1-caasminion1-2-hnd.ops.sfdc.net,10.219.183.146/29,10.213.76.0/27,a09-02,hnd-sp1-sam_caas
samcaas1-caasminion1-3-hnd.ops.sfdc.net,10.219.183.178/29,10.213.77.0/27,a05-02,hnd-sp1-sam_caas
samcaas1-caasminion1-4-hnd.ops.sfdc.net,10.219.183.179/29,10.213.77.32/27,a05-02,hnd-sp1-sam_caas
samcaas1-caasminion2-1-hnd.ops.sfdc.net,10.219.183.130/29,10.213.76.64/27,d13-02,hnd-sp1-sam_caas
samcaas1-caasminion2-2-hnd.ops.sfdc.net,10.219.183.131/29,10.213.76.96/27,d13-02,hnd-sp1-sam_caas
samcaas1-caasminion2-3-hnd.ops.sfdc.net,10.219.183.186/29,10.213.76.224/27,b16-02,hnd-sp1-sam_caas
samcaas1-caasminion3-1-hnd.ops.sfdc.net,10.219.183.138/29,10.213.76.128/27,d16-02,hnd-sp1-sam_caas
samcaas1-caasminion3-2-hnd.ops.sfdc.net,10.219.183.162/29,10.213.76.160/27,b07-02,hnd-sp1-sam_caas
samcaas1-caasminion3-3-hnd.ops.sfdc.net,10.219.183.154/29,10.213.76.32/27,b09-02,hnd-sp1-sam_caas
shared0-samcompute1-1-hnd.ops.sfdc.net,10.219.181.50/28,10.213.66.160/27,f16-02,hnd-sam
shared0-samcompute1-2-hnd.ops.sfdc.net,10.219.181.34/28,10.213.66.32/27,c08-02,hnd-sam
shared0-samcompute2-1-hnd.ops.sfdc.net,10.219.181.66/28,10.213.66.128/27,f04-02,hnd-sam
shared0-samkubeapi1-1-hnd.ops.sfdc.net,10.219.181.10/28,10.213.66.96/27,d16-02,hnd-sam
shared0-samkubeapi2-1-hnd.ops.sfdc.net,10.219.181.82/28,10.213.66.0/27,b01-02,hnd-sam
shared0-samkubeapi3-1-hnd.ops.sfdc.net,10.219.181.18/28,10.213.66.64/27,d13-02,hnd-sam
shared0-samminionatlasdir1-1-hnd.ops.sfdc.net,10.219.183.18/29,10.213.74.64/27,d16-02,hnd-sam_cloudatlas_dir
shared0-samminionatlasdir1-2-hnd.ops.sfdc.net,10.219.183.10/29,10.213.74.32/27,b09-02,hnd-sam_cloudatlas_dir
shared0-samminionatlasdir2-1-hnd.ops.sfdc.net,10.219.183.2/29,10.213.74.0/27,a09-02,hnd-sam_cloudatlas_dir
shared0-samminionatlasfe1-1-hnd.ops.sfdc.net,10.219.177.170/29,10.213.72.32/27,b09-02,hnd-sam_cloudatlas
shared0-samminionatlasfe2-1-hnd.ops.sfdc.net,10.219.177.162/29,10.213.72.0/27,a09-02,hnd-sam_cloudatlas
shared0-samminionchatbotrt1-1-hnd.ops.sfdc.net,10.219.184.18/29,10.213.84.96/27,d16-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-10-hnd.ops.sfdc.net,10.219.184.42/29,10.213.85.64/27,c05-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-2-hnd.ops.sfdc.net,10.219.184.10/29,10.213.84.32/27,b09-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-3-hnd.ops.sfdc.net,10.219.184.19/29,10.213.85.192/27,d16-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-4-hnd.ops.sfdc.net,10.219.184.11/29,10.213.85.0/27,b09-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-5-hnd.ops.sfdc.net,10.219.184.20/29,10.213.85.224/27,d16-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-6-hnd.ops.sfdc.net,10.219.184.12/29,10.213.85.32/27,b09-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-7-hnd.ops.sfdc.net,10.219.184.35/29,10.213.84.160/27,a02-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-8-hnd.ops.sfdc.net,10.219.184.43/29,10.213.85.96/27,c05-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt1-9-hnd.ops.sfdc.net,10.219.184.34/29,10.213.84.128/27,a02-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-1-hnd.ops.sfdc.net,10.219.184.26/29,10.213.84.64/27,d13-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-10-hnd.ops.sfdc.net,10.219.184.58/29,10.213.86.0/27,e16-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-2-hnd.ops.sfdc.net,10.219.184.2/29,10.213.84.0/27,a09-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-3-hnd.ops.sfdc.net,10.219.184.27/29,10.213.85.128/27,d13-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-4-hnd.ops.sfdc.net,10.219.184.3/29,10.213.84.192/27,a09-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-5-hnd.ops.sfdc.net,10.219.184.28/29,10.213.85.160/27,d13-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-6-hnd.ops.sfdc.net,10.219.184.4/29,10.213.84.224/27,a09-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-7-hnd.ops.sfdc.net,10.219.184.51/29,10.213.86.96/27,f07-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-8-hnd.ops.sfdc.net,10.219.184.59/29,10.213.86.32/27,e16-02,hnd-sam_chatbot_kingdom
shared0-samminionchatbotrt2-9-hnd.ops.sfdc.net,10.219.184.50/29,10.213.86.64/27,f07-02,hnd-sam_chatbot_kingdom
shared0-samminiongater1-1-hnd.ops.sfdc.net,10.219.180.218/29,10.213.68.128/27,f13-02,hnd-sam_gater
shared0-samminiongater1-2-hnd.ops.sfdc.net,10.219.180.210/29,10.213.68.0/27,d10-02,hnd-sam_gater
shared0-samminiongater1-3-hnd.ops.sfdc.net,10.219.180.194/29,10.213.68.64/27,d16-02,hnd-sam_gater
shared0-samminiongater2-1-hnd.ops.sfdc.net,10.219.180.202/29,10.213.68.32/27,d13-02,hnd-sam_gater
shared0-samminiongater2-2-hnd.ops.sfdc.net,10.219.180.226/29,10.213.68.96/27,e02-02,hnd-sam_gater
shared0-samminionmoderationeinstein1-1-hnd.ops.sfdc.net,10.219.183.210/29,10.213.80.64/27,d13-02,hnd-sam_moderation_einstein
shared0-samminionmoderationeinstein1-2-hnd.ops.sfdc.net,10.219.183.194/29,10.213.80.0/27,a09-02,hnd-sam_moderation_einstein
