Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-flowsnakemasterprod1-1-ia2.ops.sfdc.net,10.227.225.42/28,10.178.68.32/27,j42-01,ia2-flowsnake_prod,4203061204
shared0-flowsnakemasterprod2-1-ia2.ops.sfdc.net,10.227.225.154/29,10.178.66.128/27,g44-01,ia2-flowsnake_prod,4203071208
shared0-flowsnakemasterprod3-1-ia2.ops.sfdc.net,10.227.225.50/29,10.178.67.0/27,h44-01,ia2-flowsnake_prod,4203071207
shared0-flowsnakemasterprod4-1-ia2.ops.sfdc.net,10.227.225.108/29,10.178.70.224/27,k06-01,ia2-flowsnake_prod,4203051211
shared0-flowsnakemasterprod5-1-ia2.ops.sfdc.net,10.227.225.77/29,10.178.65.96/27,g42-01,ia2-flowsnake_prod,4203071204
shared0-flowsnakeworkerprod1-1-ia2.ops.sfdc.net,10.227.225.23/28,10.178.71.96/27,k45-01,ia2-flowsnake_prod,4203061209
shared0-flowsnakeworkerprod1-10-ia2.ops.sfdc.net,10.227.225.24/28,10.178.71.128/27,k45-01,ia2-flowsnake_prod,4203061209
shared0-flowsnakeworkerprod1-11-ia2.ops.sfdc.net,10.227.225.106/29,10.178.71.0/27,k06-01,ia2-flowsnake_prod,4203051211
shared0-flowsnakeworkerprod1-12-ia2.ops.sfdc.net,10.227.225.25/28,10.178.71.160/27,k45-01,ia2-flowsnake_prod,4203061209
shared0-flowsnakeworkerprod1-13-ia2.ops.sfdc.net,10.227.225.13/28,10.178.69.64/27,k03-01,ia2-flowsnake_prod,4203051205
shared0-flowsnakeworkerprod1-14-ia2.ops.sfdc.net,10.227.225.98/29,10.178.64.0/27,e03-01,ia2-flowsnake_prod,4203091206
shared0-flowsnakeworkerprod1-15-ia2.ops.sfdc.net,10.227.225.67/29,10.178.65.224/27,g43-01,ia2-flowsnake_prod,4203071206
shared0-flowsnakeworkerprod1-16-ia2.ops.sfdc.net,10.227.225.68/29,10.178.66.0/27,g43-01,ia2-flowsnake_prod,4203071206
shared0-flowsnakeworkerprod1-17-ia2.ops.sfdc.net,10.227.225.59/29,10.178.64.192/27,g09-01,ia2-flowsnake_prod,4203081216
shared0-flowsnakeworkerprod1-18-ia2.ops.sfdc.net,10.227.225.69/29,10.178.66.32/27,g43-01,ia2-flowsnake_prod,4203071206
shared0-flowsnakeworkerprod1-19-ia2.ops.sfdc.net,10.227.225.53/29,10.178.67.32/27,h44-01,ia2-flowsnake_prod,4203071207
shared0-flowsnakeworkerprod1-2-ia2.ops.sfdc.net,10.227.225.6/28,10.178.69.96/27,k03-01,ia2-flowsnake_prod,4203051205
shared0-flowsnakeworkerprod1-20-ia2.ops.sfdc.net,10.227.225.107/29,10.178.71.32/27,k06-01,ia2-flowsnake_prod,4203051211
