Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
samcaas1-caasminion1-1-ukb.ops.sfdc.net,10.218.150.130/29,10.213.56.32/27,f07-02,ukb-sp1-sam_caas
samcaas1-caasminion1-2-ukb.ops.sfdc.net,10.218.150.146/29,10.213.56.160/27,j08-02,ukb-sp1-sam_caas
samcaas1-caasminion1-3-ukb.ops.sfdc.net,10.218.150.131/29,10.213.56.64/27,f07-02,ukb-sp1-sam_caas
samcaas1-caasminion1-4-ukb.ops.sfdc.net,10.218.150.162/29,10.213.56.224/27,l28-01,ukb-sp1-sam_caas
samcaas1-caasminion2-1-ukb.ops.sfdc.net,10.218.150.138/29,10.213.56.96/27,h02-02,ukb-sp1-sam_caas
samcaas1-caasminion2-2-ukb.ops.sfdc.net,10.218.150.139/29,10.213.56.128/27,h02-02,ukb-sp1-sam_caas
samcaas1-caasminion2-3-ukb.ops.sfdc.net,10.218.150.178/29,10.213.57.0/27,m08-02,ukb-sp1-sam_caas
samcaas1-caasminion3-1-ukb.ops.sfdc.net,10.218.150.154/29,10.213.56.0/27,d07-02,ukb-sp1-sam_caas
samcaas1-caasminion3-2-ukb.ops.sfdc.net,10.218.150.186/29,10.213.56.192/27,k23-01,ukb-sp1-sam_caas
samcaas1-caasminion3-3-ukb.ops.sfdc.net,10.218.150.170/29,10.213.57.32/27,m09-02,ukb-sp1-sam_caas
shared0-samcompute1-1-ukb.ops.sfdc.net,10.218.148.66/28,10.213.58.0/27,b07-02,ukb-sam
shared0-samcompute1-2-ukb.ops.sfdc.net,10.218.148.18/28,10.213.58.32/27,d07-02,ukb-sam
shared0-samcompute2-1-ukb.ops.sfdc.net,10.218.148.50/28,10.213.58.64/27,f07-02,ukb-sam
shared0-samkubeapi1-1-ukb.ops.sfdc.net,10.218.148.10/28,10.213.58.96/27,j08-02,ukb-sam
shared0-samkubeapi2-1-ukb.ops.sfdc.net,10.218.148.34/28,10.213.58.128/27,l28-01,ukb-sam
shared0-samkubeapi3-1-ukb.ops.sfdc.net,10.218.148.82/28,10.213.58.160/27,m09-02,ukb-sam
shared0-samminionatlasdir1-1-ukb.ops.sfdc.net,10.218.152.170/29,10.213.4.32/27,h02-02,ukb-sam_cloudatlas_dir
shared0-samminionatlasdir1-2-ukb.ops.sfdc.net,10.218.152.162/29,10.213.4.0/27,b07-02,ukb-sam_cloudatlas_dir
shared0-samminionatlasdir2-1-ukb.ops.sfdc.net,10.218.152.178/29,10.213.4.64/27,l28-01,ukb-sam_cloudatlas_dir
shared0-samminionatlasfe1-1-ukb.ops.sfdc.net,10.218.152.130/29,10.213.2.0/27,d07-02,ukb-sam_cloudatlas
shared0-samminionatlasfe2-1-ukb.ops.sfdc.net,10.218.152.138/29,10.213.2.32/27,j08-02,ukb-sam_cloudatlas
shared0-samminionceph1-1-ukb.ops.sfdc.net,10.218.157.58/29,10.213.18.160/27,g08-02,ukb-sam_ceph
