Hostname,Eth1IP
shared0-samkubeapi1-1-syd.ops.sfdc.net,10.221.117.164
shared0-samkubeapi1-2-syd.ops.sfdc.net,10.221.117.167
shared0-samkubeapi2-1-syd.ops.sfdc.net,10.221.117.165
shared0-samkubeapi2-2-syd.ops.sfdc.net,10.221.117.168
shared0-samkubeapi3-1-syd.ops.sfdc.net,10.221.117.166
shared0-samminiondatapool1-1-syd.ops.sfdc.net,10.221.124.20
shared0-samminiondatapool1-2-syd.ops.sfdc.net,10.221.124.21
shared0-samminiondatapool2-1-syd.ops.sfdc.net,10.221.124.22
shared0-samminiongater1-1-syd.ops.sfdc.net,10.221.117.100
shared0-samminiongater1-2-syd.ops.sfdc.net,10.221.117.101
shared0-samminiongater1-3-syd.ops.sfdc.net,10.221.117.103
shared0-samminiongater1-4-syd.ops.sfdc.net,10.221.117.104
shared0-samminiongater1-5-syd.ops.sfdc.net,10.221.117.105
shared0-samminiongater1-6-syd.ops.sfdc.net,10.221.117.106
shared0-samminiongater2-1-syd.ops.sfdc.net,10.221.117.102
shared0-samminiongater2-2-syd.ops.sfdc.net,10.221.117.107
shared0-samminiongater2-3-syd.ops.sfdc.net,10.221.117.108
shared0-samminiongater2-4-syd.ops.sfdc.net,10.221.117.109
shared0-samminiongater2-5-syd.ops.sfdc.net,10.221.117.110
shared0-samminionreportcollector1-1-syd.ops.sfdc.net,10.221.117.4
shared0-samminionreportcollector2-1-syd.ops.sfdc.net,10.221.117.5
shared0-samminionreportcollector3-1-syd.ops.sfdc.net,10.221.117.6
shared0-samminionwarden1-1-syd.ops.sfdc.net,10.221.116.228
shared0-samminionwarden2-1-syd.ops.sfdc.net,10.221.116.229
shared0-samminionwarden3-1-syd.ops.sfdc.net,10.221.116.230
