Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-samkubeapi1-1-yul.ops.sfdc.net,10.221.50.180/28,10.169.2.96/27,NONE,yul-sam,65009
shared0-samkubeapi1-2-yul.ops.sfdc.net,10.221.50.183/28,10.169.2.128/27,NONE,yul-sam,65009
shared0-samkubeapi2-1-yul.ops.sfdc.net,10.221.50.181/28,10.169.2.160/27,NONE,yul-sam,65009
shared0-samkubeapi2-2-yul.ops.sfdc.net,10.221.50.184/28,10.169.2.32/27,NONE,yul-sam,65009
shared0-samkubeapi3-1-yul.ops.sfdc.net,10.221.50.182/28,10.169.2.64/27,NONE,yul-sam,65009
shared0-samminiondatapool1-1-yul.ops.sfdc.net,10.221.59.20/28,10.169.1.192/27,NONE,yul-sam_datapool,65009
shared0-samminiondatapool1-2-yul.ops.sfdc.net,10.221.59.21/28,10.169.1.160/27,NONE,yul-sam_datapool,65009
shared0-samminiondatapool2-1-yul.ops.sfdc.net,10.221.59.22/28,10.169.1.224/27,NONE,yul-sam_datapool,65009
shared0-samminiongater1-1-yul.ops.sfdc.net,10.221.54.100/28,10.169.7.0/27,NONE,yul-sam_gater,65009
shared0-samminiongater1-2-yul.ops.sfdc.net,10.221.54.101/28,10.169.6.128/27,NONE,yul-sam_gater,65009
shared0-samminiongater1-3-yul.ops.sfdc.net,10.221.54.103/28,10.169.7.64/27,NONE,yul-sam_gater,65009
shared0-samminiongater1-4-yul.ops.sfdc.net,10.221.54.104/28,10.169.6.192/27,NONE,yul-sam_gater,65009
shared0-samminiongater2-1-yul.ops.sfdc.net,10.221.54.102/28,10.169.6.32/27,NONE,yul-sam_gater,65009
shared0-samminiongater2-2-yul.ops.sfdc.net,10.221.54.105/28,10.169.6.160/27,NONE,yul-sam_gater,65009
shared0-samminiongater2-3-yul.ops.sfdc.net,10.221.54.106/28,10.169.6.64/27,NONE,yul-sam_gater,65009
shared0-samminiongater2-4-yul.ops.sfdc.net,10.221.54.107/28,10.169.7.32/27,NONE,yul-sam_gater,65009
shared0-samminiongater3-1-yul.ops.sfdc.net,10.221.54.108/28,10.169.7.96/27,NONE,yul-sam_gater,65009
shared0-samminiongater3-2-yul.ops.sfdc.net,10.221.54.109/28,10.169.6.224/27,NONE,yul-sam_gater,65009
shared0-samminiongater3-3-yul.ops.sfdc.net,10.221.54.110/28,10.169.6.96/27,NONE,yul-sam_gater,65009
shared0-samminionreportcollector1-1-yul.ops.sfdc.net,10.221.51.148/28,10.169.3.32/27,NONE,yul-sam_report_collector,65009
shared0-samminionreportcollector2-1-yul.ops.sfdc.net,10.221.51.149/28,10.169.3.96/27,NONE,yul-sam_report_collector,65009
shared0-samminionreportcollector3-1-yul.ops.sfdc.net,10.221.51.150/28,10.169.3.64/27,NONE,yul-sam_report_collector,65009
shared0-samminionsearch1-1-yul.ops.sfdc.net,10.221.58.228/27,10.169.9.64/27,NONE,yul-sam_search,65009
shared0-samminionsearch1-2-yul.ops.sfdc.net,10.221.58.229/27,10.169.9.224/27,NONE,yul-sam_search,65009
shared0-samminionsearch1-3-yul.ops.sfdc.net,10.221.58.230/27,10.169.8.32/27,NONE,yul-sam_search,65009
shared0-samminionsearch1-4-yul.ops.sfdc.net,10.221.58.231/27,10.169.9.96/27,NONE,yul-sam_search,65009
shared0-samminionsearch1-5-yul.ops.sfdc.net,10.221.58.232/27,10.169.8.224/27,NONE,yul-sam_search,65009
shared0-samminionsearch2-1-yul.ops.sfdc.net,10.221.58.233/27,10.169.8.128/27,NONE,yul-sam_search,65009
shared0-samminionsearch2-2-yul.ops.sfdc.net,10.221.58.234/27,10.169.9.192/27,NONE,yul-sam_search,65009
shared0-samminionsearch2-3-yul.ops.sfdc.net,10.221.58.235/27,10.169.9.0/27,NONE,yul-sam_search,65009
shared0-samminionsearch2-4-yul.ops.sfdc.net,10.221.58.236/27,10.169.9.128/27,NONE,yul-sam_search,65009
shared0-samminionsearch2-5-yul.ops.sfdc.net,10.221.58.237/27,10.169.8.64/27,NONE,yul-sam_search,65009
shared0-samminionsearch3-1-yul.ops.sfdc.net,10.221.58.238/27,10.169.8.192/27,NONE,yul-sam_search,65009
shared0-samminionsearch3-2-yul.ops.sfdc.net,10.221.58.239/27,10.169.9.160/27,NONE,yul-sam_search,65009
shared0-samminionsearch3-3-yul.ops.sfdc.net,10.221.58.240/27,10.169.9.32/27,NONE,yul-sam_search,65009
shared0-samminionsearch3-4-yul.ops.sfdc.net,10.221.58.241/27,10.169.8.96/27,NONE,yul-sam_search,65009
shared0-samminionsearch3-5-yul.ops.sfdc.net,10.221.58.242/27,10.169.8.160/27,NONE,yul-sam_search,65009
shared0-samminionsme1-1-yul.ops.sfdc.net,10.221.49.196/28,10.169.5.96/27,NONE,yul-search_model_executor,65009
shared0-samminionsme1-2-yul.ops.sfdc.net,10.221.49.197/28,10.169.5.64/27,NONE,yul-search_model_executor,65009
shared0-samminionsme2-1-yul.ops.sfdc.net,10.221.49.198/28,10.169.5.128/27,NONE,yul-search_model_executor,65009
shared0-samminionsme2-2-yul.ops.sfdc.net,10.221.49.199/28,10.169.5.160/27,NONE,yul-search_model_executor,65009
shared0-samminionsme3-1-yul.ops.sfdc.net,10.221.49.200/28,10.169.5.32/27,NONE,yul-search_model_executor,65009
shared0-samminionwarden1-1-yul.ops.sfdc.net,10.221.53.52/28,10.169.4.32/27,NONE,yul-sam_warden,65009
shared0-samminionwarden2-1-yul.ops.sfdc.net,10.221.53.53/28,10.169.4.64/27,NONE,yul-sam_warden,65009
shared0-samminionwarden3-1-yul.ops.sfdc.net,10.221.53.54/28,10.169.4.96/27,NONE,yul-sam_warden,65009
shared0-sdncontrol1-1-yul.ops.sfdc.net,10.221.54.180/28,10.221.56.224/27,NONE,yul-sdn_control,65009
shared0-sdncontrol1-2-yul.ops.sfdc.net,10.221.54.181/28,10.221.56.192/27,NONE,yul-sdn_control,65009
shared0-sdncontrol1-3-yul.ops.sfdc.net,10.221.54.182/28,10.221.56.160/27,NONE,yul-sdn_control,65009
