Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samkingdomcaas0-caasminion1-1-ph2.ops.sfdc.net,10.226.154.34/29,10.163.144.160/27,e49-01,ph2-sam_kingdom_caas,4203031215
samkingdomcaas0-caasminion1-2-ph2.ops.sfdc.net,10.226.154.35/29,10.163.144.192/27,e49-01,ph2-sam_kingdom_caas,4203031215
samkingdomcaas0-caasminion1-3-ph2.ops.sfdc.net,10.226.154.36/29,10.163.144.224/27,e49-01,ph2-sam_kingdom_caas,4203031215
samkingdomcaas0-caasminion2-1-ph2.ops.sfdc.net,10.226.154.42/29,10.163.144.64/27,d44-01,ph2-sam_kingdom_caas,4203061208
samkingdomcaas0-caasminion2-2-ph2.ops.sfdc.net,10.226.154.43/29,10.163.144.96/27,d44-01,ph2-sam_kingdom_caas,4203061208
samkingdomcaas0-caasminion2-3-ph2.ops.sfdc.net,10.226.154.44/29,10.163.144.128/27,d44-01,ph2-sam_kingdom_caas,4203061208
samkingdomcaas0-caasminion3-1-ph2.ops.sfdc.net,10.226.154.50/29,10.163.144.0/27,c46-01,ph2-sam_kingdom_caas,4203061211
samkingdomcaas0-caasminion3-2-ph2.ops.sfdc.net,10.226.154.51/29,10.163.144.32/27,c46-01,ph2-sam_kingdom_caas,4203061211
shared0-samcompute1-1-ph2.ops.sfdc.net,10.226.230.130/29,10.163.128.160/27,d42-01,ph2-sam,4203061204
shared0-samcompute1-2-ph2.ops.sfdc.net,10.226.230.131/29,10.163.128.192/27,d42-01,ph2-sam,4203061204
shared0-samcompute2-1-ph2.ops.sfdc.net,10.226.230.138/29,10.163.128.64/27,c45-01,ph2-sam,4203061209
shared0-samkubeapi1-1-ph2.ops.sfdc.net,10.226.230.132/29,10.163.128.224/27,d42-01,ph2-sam,4203061204
shared0-samkubeapi1-2-ph2.ops.sfdc.net,10.226.230.133/29,10.163.129.0/27,d42-01,ph2-sam,4203061204
shared0-samkubeapi2-1-ph2.ops.sfdc.net,10.226.230.139/29,10.163.128.96/27,c45-01,ph2-sam,4203061209
shared0-samkubeapi2-2-ph2.ops.sfdc.net,10.226.230.140/29,10.163.128.128/27,c45-01,ph2-sam,4203061209
shared0-samkubeapi3-1-ph2.ops.sfdc.net,10.226.230.146/29,10.163.128.0/27,c43-01,ph2-sam,4203061205
shared0-samkubeapi3-2-ph2.ops.sfdc.net,10.226.230.147/29,10.163.128.32/27,c43-01,ph2-sam,4203061205
shared0-samminiongater1-1-ph2.ops.sfdc.net,10.226.137.66/29,10.163.130.64/27,f23-01,ph2-sam_gater,4203041206
shared0-samminiongater1-2-ph2.ops.sfdc.net,10.226.137.67/29,10.163.130.96/27,f23-01,ph2-sam_gater,4203041206
shared0-samminiongater1-3-ph2.ops.sfdc.net,10.226.137.68/29,10.163.130.128/27,f23-01,ph2-sam_gater,4203041206
shared0-samminiongater2-1-ph2.ops.sfdc.net,10.226.137.74/29,10.163.130.0/27,d25-01,ph2-sam_gater,4203051210
shared0-samminiongater2-2-ph2.ops.sfdc.net,10.226.137.75/29,10.163.130.32/27,d25-01,ph2-sam_gater,4203051210
shared0-samminioniot1-1-ph2.ops.sfdc.net,10.226.151.164/29,10.163.142.0/27,e63-01,ph2-sam_iot,4203071205
shared0-samminioniot1-10-ph2.ops.sfdc.net,10.226.151.149/28,10.163.140.96/27,d26-01,ph2-sam_iot,4203051212
shared0-samminioniot1-2-ph2.ops.sfdc.net,10.226.151.133/28,10.163.141.64/27,e44-01,ph2-sam_iot,4203031207
shared0-samminioniot1-3-ph2.ops.sfdc.net,10.226.151.134/28,10.163.141.96/27,e44-01,ph2-sam_iot,4203031207
shared0-samminioniot1-4-ph2.ops.sfdc.net,10.226.151.135/28,10.163.141.128/27,e44-01,ph2-sam_iot,4203031207
shared0-samminioniot1-5-ph2.ops.sfdc.net,10.226.151.163/29,10.163.142.32/27,e63-01,ph2-sam_iot,4203071205
shared0-samminioniot1-6-ph2.ops.sfdc.net,10.226.151.165/29,10.163.142.64/27,e63-01,ph2-sam_iot,4203071205
shared0-samminioniot1-7-ph2.ops.sfdc.net,10.226.151.151/28,10.163.140.128/27,d26-01,ph2-sam_iot,4203051212
shared0-samminioniot1-8-ph2.ops.sfdc.net,10.226.151.150/28,10.163.140.160/27,d26-01,ph2-sam_iot,4203051212
shared0-samminioniot1-9-ph2.ops.sfdc.net,10.226.151.172/29,10.163.140.0/27,c06-01,ph2-sam_iot,4203091211
shared0-samminioniot2-1-ph2.ops.sfdc.net,10.226.151.131/28,10.163.141.160/27,e44-01,ph2-sam_iot,4203031207
shared0-samminioniot2-10-ph2.ops.sfdc.net,10.226.151.146/28,10.163.140.192/27,d26-01,ph2-sam_iot,4203051212
shared0-samminioniot2-2-ph2.ops.sfdc.net,10.226.151.162/29,10.163.142.96/27,e63-01,ph2-sam_iot,4203071205
shared0-samminioniot2-3-ph2.ops.sfdc.net,10.226.151.132/28,10.163.141.192/27,e44-01,ph2-sam_iot,4203031207
shared0-samminioniot2-4-ph2.ops.sfdc.net,10.226.151.147/28,10.163.140.224/27,d26-01,ph2-sam_iot,4203051212
shared0-samminioniot2-5-ph2.ops.sfdc.net,10.226.151.130/28,10.163.141.224/27,e44-01,ph2-sam_iot,4203031207
shared0-samminioniot2-6-ph2.ops.sfdc.net,10.226.151.170/29,10.163.140.32/27,c06-01,ph2-sam_iot,4203091211
shared0-samminioniot2-7-ph2.ops.sfdc.net,10.226.151.178/29,10.163.141.32/27,e04-01,ph2-sam_iot,4203081207
shared0-samminioniot2-8-ph2.ops.sfdc.net,10.226.151.171/29,10.163.140.64/27,c06-01,ph2-sam_iot,4203091211
shared0-samminioniot2-9-ph2.ops.sfdc.net,10.226.151.148/28,10.163.141.0/27,d26-01,ph2-sam_iot,4203051212
shared0-samminionpubdnsa1-1-ph2.ops.sfdc.net,10.226.149.130/29,10.163.131.64/27,c25-01,ph2-sam_pubdnsa,4203051209
shared0-samminionpubdnsa1-2-ph2.ops.sfdc.net,10.226.149.138/29,10.163.131.96/27,d23-01,ph2-sam_pubdnsa,4203051206
shared0-samminionpubdnsa2-1-ph2.ops.sfdc.net,10.226.149.146/29,10.163.131.32/27,c24-01,ph2-sam_pubdnsa,4203051207
shared0-samminionpubdnsa2-2-ph2.ops.sfdc.net,10.226.149.154/29,10.163.131.0/27,c23-01,ph2-sam_pubdnsa,4203051205
shared0-samminionpubdnsa3-1-ph2.ops.sfdc.net,10.226.149.162/29,10.163.131.128/27,f43-01,ph2-sam_pubdnsa,4203031206
