Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-samkubeapi1-1-yhu.ops.sfdc.net,10.221.82.180/28,10.169.16.128/27,NONE,yhu-sam,65009
shared0-samkubeapi1-2-yhu.ops.sfdc.net,10.221.82.183/28,10.169.16.32/27,NONE,yhu-sam,65009
shared0-samkubeapi2-1-yhu.ops.sfdc.net,10.221.82.181/28,10.169.16.96/27,NONE,yhu-sam,65009
shared0-samkubeapi2-2-yhu.ops.sfdc.net,10.221.82.184/28,10.169.16.160/27,NONE,yhu-sam,65009
shared0-samkubeapi3-1-yhu.ops.sfdc.net,10.221.82.182/28,10.169.16.64/27,NONE,yhu-sam,65009
shared0-samminiondatapool1-1-yhu.ops.sfdc.net,10.221.88.132/28,10.169.17.96/27,NONE,yhu-sam_datapool,65009
shared0-samminiondatapool1-2-yhu.ops.sfdc.net,10.221.88.133/28,10.169.17.32/27,NONE,yhu-sam_datapool,65009
shared0-samminiondatapool2-1-yhu.ops.sfdc.net,10.221.88.134/28,10.169.17.64/27,NONE,yhu-sam_datapool,65009
shared0-samminiongater1-1-yhu.ops.sfdc.net,10.221.86.68/28,10.169.18.96/27,NONE,yhu-sam_gater,65009
shared0-samminiongater1-2-yhu.ops.sfdc.net,10.221.86.69/28,10.169.19.64/27,NONE,yhu-sam_gater,65009
shared0-samminiongater1-3-yhu.ops.sfdc.net,10.221.86.70/28,10.169.18.64/27,NONE,yhu-sam_gater,65009
shared0-samminiongater1-4-yhu.ops.sfdc.net,10.221.86.71/28,10.169.19.0/27,NONE,yhu-sam_gater,65009
shared0-samminiongater1-5-yhu.ops.sfdc.net,10.221.86.72/28,10.169.18.192/27,NONE,yhu-sam_gater,65009
shared0-samminiongater1-6-yhu.ops.sfdc.net,10.221.86.73/28,10.169.18.224/27,NONE,yhu-sam_gater,65009
shared0-samminiongater2-1-yhu.ops.sfdc.net,10.221.86.74/28,10.169.18.160/27,NONE,yhu-sam_gater,65009
