Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-flowsnakemasterprod1-1-iad.ops.sfdc.net,10.222.246.130/28,10.235.71.128/27,f06-01,iad-flowsnake_prod,65009
shared0-flowsnakemasterprod1-2-iad.ops.sfdc.net,10.222.246.50/28,10.235.77.128/27,g16-03,iad-flowsnake_prod,65009
shared0-flowsnakemasterprod1-3-iad.ops.sfdc.net,10.222.246.146/28,10.235.67.0/27,e14-02,iad-flowsnake_prod,65009
shared0-flowsnakemasterprod1-4-iad.ops.sfdc.net,10.222.246.66/28,10.235.64.0/27,a07-03,iad-flowsnake_prod,65009
shared0-flowsnakemasterprod1-5-iad.ops.sfdc.net,10.222.246.82/28,10.235.65.128/27,d05-02,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-1-iad.ops.sfdc.net,10.222.246.114/28,10.235.76.0/27,g11-02,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-10-iad.ops.sfdc.net,10.222.246.147/28,10.235.67.32/27,e14-02,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-100-iad.ops.sfdc.net,10.222.246.51/28,10.235.77.160/27,g16-03,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-101-iad.ops.sfdc.net,10.222.246.18/28,10.235.73.0/27,f11-01,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-102-iad.ops.sfdc.net,10.222.246.83/28,10.235.65.160/27,d05-02,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-103-iad.ops.sfdc.net,10.222.246.2/28,10.235.74.128/27,f12-01,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-104-iad.ops.sfdc.net,10.222.246.19/28,10.235.73.32/27,f11-01,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-105-iad.ops.sfdc.net,10.222.246.67/28,10.235.64.32/27,a07-03,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-106-iad.ops.sfdc.net,10.222.246.84/28,10.235.65.192/27,d05-02,iad-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-107-iad.ops.sfdc.net,10.222.246.85/28,10.235.65.224/27,d05-02,iad-flowsnake_prod,65009
