Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-samkubeapi1-1-cdu.ops.sfdc.net,10.221.150.132/28,10.169.49.160/27,NONE,cdu-sam,65009
shared0-samkubeapi1-2-cdu.ops.sfdc.net,10.221.150.135/28,10.169.49.128/27,NONE,cdu-sam,65009
shared0-samkubeapi2-1-cdu.ops.sfdc.net,10.221.150.133/28,10.169.49.64/27,NONE,cdu-sam,65009
shared0-samkubeapi2-2-cdu.ops.sfdc.net,10.221.150.136/28,10.169.49.96/27,NONE,cdu-sam,65009
shared0-samkubeapi3-1-cdu.ops.sfdc.net,10.221.150.134/28,10.169.49.32/27,NONE,cdu-sam,65009
shared0-samminiondatapool1-1-cdu.ops.sfdc.net,10.221.155.20/28,10.169.48.192/27,NONE,cdu-sam_datapool,65009
shared0-samminiondatapool1-2-cdu.ops.sfdc.net,10.221.155.21/28,10.169.48.160/27,NONE,cdu-sam_datapool,65009
shared0-samminiondatapool2-1-cdu.ops.sfdc.net,10.221.155.22/28,10.169.48.224/27,NONE,cdu-sam_datapool,65009
shared0-samminiongater1-1-cdu.ops.sfdc.net,10.221.150.148/28,10.169.51.0/27,NONE,cdu-sam_gater,65009
shared0-samminiongater1-2-cdu.ops.sfdc.net,10.221.150.149/28,10.169.50.96/27,NONE,cdu-sam_gater,65009
shared0-samminiongater1-3-cdu.ops.sfdc.net,10.221.150.151/28,10.169.51.32/27,NONE,cdu-sam_gater,65009
shared0-samminiongater1-4-cdu.ops.sfdc.net,10.221.150.152/28,10.169.51.96/27,NONE,cdu-sam_gater,65009
shared0-samminiongater1-5-cdu.ops.sfdc.net,10.221.150.153/28,10.169.50.160/27,NONE,cdu-sam_gater,65009
shared0-samminiongater1-6-cdu.ops.sfdc.net,10.221.150.154/28,10.169.50.128/27,NONE,cdu-sam_gater,65009
shared0-samminiongater2-1-cdu.ops.sfdc.net,10.221.150.150/28,10.169.51.64/27,NONE,cdu-sam_gater,65009
shared0-samminiongater2-2-cdu.ops.sfdc.net,10.221.150.155/28,10.169.50.192/27,NONE,cdu-sam_gater,65009
shared0-samminiongater2-3-cdu.ops.sfdc.net,10.221.150.156/28,10.169.50.224/27,NONE,cdu-sam_gater,65009
shared0-samminiongater2-4-cdu.ops.sfdc.net,10.221.150.157/28,10.169.50.64/27,NONE,cdu-sam_gater,65009
shared0-samminiongater2-5-cdu.ops.sfdc.net,10.221.150.158/28,10.169.50.32/27,NONE,cdu-sam_gater,65009
shared0-samminionreportcollector1-1-cdu.ops.sfdc.net,10.221.149.100/28,10.169.48.96/27,NONE,cdu-sam_report_collector,65009
shared0-samminionreportcollector2-1-cdu.ops.sfdc.net,10.221.149.101/28,10.169.48.32/27,NONE,cdu-sam_report_collector,65009
shared0-samminionreportcollector3-1-cdu.ops.sfdc.net,10.221.149.102/28,10.169.48.64/27,NONE,cdu-sam_report_collector,65009
shared0-samminionwarden1-1-cdu.ops.sfdc.net,10.221.150.244/28,10.169.52.32/27,NONE,cdu-sam_warden,65009
shared0-samminionwarden2-1-cdu.ops.sfdc.net,10.221.150.245/28,10.169.52.64/27,NONE,cdu-sam_warden,65009
shared0-samminionwarden3-1-cdu.ops.sfdc.net,10.221.150.246/28,10.169.52.96/27,NONE,cdu-sam_warden,65009
shared0-sdncontrol1-1-cdu.ops.sfdc.net,10.221.151.68/28,10.221.154.64/27,NONE,cdu-sdn_control,65009
shared0-sdncontrol1-2-cdu.ops.sfdc.net,10.221.151.69/28,10.221.154.32/27,NONE,cdu-sdn_control,65009
shared0-sdncontrol1-3-cdu.ops.sfdc.net,10.221.151.70/28,10.221.154.96/27,NONE,cdu-sdn_control,65009
