Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
shared0-flowsnakemasterprod1-1-frf.ops.sfdc.net,10.248.249.162/28,10.248.101.0/27,k17-02,frf-flowsnake_prod,65009
shared0-flowsnakemasterprod1-2-frf.ops.sfdc.net,10.248.249.178/28,10.248.100.32/27,j08-02,frf-flowsnake_prod,65009
shared0-flowsnakemasterprod1-3-frf.ops.sfdc.net,10.248.249.210/28,10.248.97.128/27,b06-03,frf-flowsnake_prod,65009
shared0-flowsnakemasterprod1-4-frf.ops.sfdc.net,10.248.248.66/28,10.248.97.192/27,b07-03,frf-flowsnake_prod,65009
shared0-flowsnakemasterprod1-5-frf.ops.sfdc.net,10.248.249.66/28,10.248.96.96/27,a06-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-1-frf.ops.sfdc.net,10.248.248.2/28,10.248.97.32/27,b03-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-10-frf.ops.sfdc.net,10.248.248.18/28,10.248.96.224/27,b01-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-11-frf.ops.sfdc.net,10.248.248.34/28,10.248.101.64/27,k18-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-12-frf.ops.sfdc.net,10.248.248.50/28,10.248.100.96/27,j11-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-13-frf.ops.sfdc.net,10.248.248.67/28,10.248.97.224/27,b07-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-14-frf.ops.sfdc.net,10.248.248.82/28,10.248.99.64/27,f01-01,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-15-frf.ops.sfdc.net,10.248.248.98/28,10.248.96.0/27,a02-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-16-frf.ops.sfdc.net,10.248.248.114/28,10.248.99.32/27,d07-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-17-frf.ops.sfdc.net,10.248.248.130/28,10.248.96.64/27,a05-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-18-frf.ops.sfdc.net,10.248.248.146/28,10.248.98.64/27,c05-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-19-frf.ops.sfdc.net,10.248.248.162/28,10.248.97.96/27,b05-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-2-frf.ops.sfdc.net,10.248.248.178/28,10.248.98.192/27,c18-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-20-frf.ops.sfdc.net,10.248.248.194/28,10.248.98.128/27,c09-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-21-frf.ops.sfdc.net,10.248.248.210/28,10.248.100.160/27,j16-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-22-frf.ops.sfdc.net,10.248.248.226/28,10.248.101.96/27,l15-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-23-frf.ops.sfdc.net,10.248.248.242/28,10.248.99.96/27,h10-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-24-frf.ops.sfdc.net,10.248.249.2/28,10.248.99.224/27,h17-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-25-frf.ops.sfdc.net,10.248.249.18/28,10.248.98.224/27,d04-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-26-frf.ops.sfdc.net,10.248.249.34/28,10.248.96.192/27,a15-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-27-frf.ops.sfdc.net,10.248.249.50/28,10.248.100.224/27,k14-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-28-frf.ops.sfdc.net,10.248.249.67/28,10.248.96.128/27,a06-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-29-frf.ops.sfdc.net,10.248.249.82/28,10.248.98.96/27,c06-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-3-frf.ops.sfdc.net,10.248.249.98/28,10.248.96.32/27,a04-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-30-frf.ops.sfdc.net,10.248.249.114/28,10.248.98.32/27,b15-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-31-frf.ops.sfdc.net,10.248.249.130/28,10.248.99.160/27,h13-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-32-frf.ops.sfdc.net,10.248.249.146/28,10.248.100.192/27,k04-01,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-33-frf.ops.sfdc.net,10.248.249.163/28,10.248.101.32/27,k17-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-34-frf.ops.sfdc.net,10.248.249.179/28,10.248.100.64/27,j08-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-35-frf.ops.sfdc.net,10.248.249.194/28,10.248.99.0/27,d05-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-36-frf.ops.sfdc.net,10.248.249.211/28,10.248.97.160/27,b06-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-37-frf.ops.sfdc.net,10.248.249.226/28,10.248.97.0/27,b03-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-38-frf.ops.sfdc.net,10.248.249.242/28,10.248.98.160/27,c10-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-39-frf.ops.sfdc.net,10.248.248.3/28,10.248.97.64/27,b03-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-4-frf.ops.sfdc.net,10.248.248.51/28,10.248.100.128/27,j11-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-40-frf.ops.sfdc.net,10.248.248.68/28,10.248.98.0/27,b07-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-41-frf.ops.sfdc.net,10.248.249.212/28,10.248.102.0/27,b06-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-42-frf.ops.sfdc.net,10.248.240.2/29,10.248.102.224/27,d16-01,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-43-frf.ops.sfdc.net,10.248.164.98/29,10.248.102.96/27,b10-01,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-44-frf.ops.sfdc.net,10.248.249.227/28,10.248.101.224/27,b03-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-45-frf.ops.sfdc.net,10.248.248.132/28,10.248.101.160/27,a05-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-46-frf.ops.sfdc.net,10.248.164.99/29,10.248.102.128/27,b10-01,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-47-frf.ops.sfdc.net,10.248.250.146/29,10.248.103.0/27,d18-01,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-48-frf.ops.sfdc.net,10.248.164.90/29,10.248.102.32/27,b04-03,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-49-frf.ops.sfdc.net,10.248.226.98/29,10.248.103.96/27,h09-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-5-frf.ops.sfdc.net,10.248.248.227/28,10.248.101.128/27,l15-02,frf-flowsnake_prod,65009
shared0-flowsnakeworkerprod1-50-frf.ops.sfdc.net,10.248.164.106/29,10.248.103.32/27,d19-01,frf-flowsnake_prod,65009
