Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
shared0-flowsnakemasterprod1-1-phx.ops.sfdc.net,10.220.74.66/28,10.235.35.192/27,v35-01,phx-flowsnake_prod
shared0-flowsnakemasterprod1-2-phx.ops.sfdc.net,10.220.74.2/28,10.235.32.0/27,d52-01,phx-flowsnake_prod
shared0-flowsnakemasterprod1-3-phx.ops.sfdc.net,10.220.74.34/28,10.235.33.64/27,n43-02,phx-flowsnake_prod
shared0-flowsnakemasterprod1-4-phx.ops.sfdc.net,10.220.74.50/28,10.235.37.0/27,w10-02,phx-flowsnake_prod
shared0-flowsnakemasterprod1-5-phx.ops.sfdc.net,10.220.74.18/28,10.235.34.128/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-1-phx.ops.sfdc.net,10.220.74.3/28,10.235.32.32/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-10-phx.ops.sfdc.net,10.220.74.4/28,10.235.32.64/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-11-phx.ops.sfdc.net,10.220.74.35/28,10.235.33.96/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-12-phx.ops.sfdc.net,10.220.74.51/28,10.235.37.32/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-13-phx.ops.sfdc.net,10.220.74.5/28,10.235.32.96/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-14-phx.ops.sfdc.net,10.220.74.6/28,10.235.32.128/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-15-phx.ops.sfdc.net,10.220.74.67/28,10.235.35.224/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-16-phx.ops.sfdc.net,10.220.74.68/28,10.235.36.0/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-17-phx.ops.sfdc.net,10.220.74.36/28,10.235.33.128/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-18-phx.ops.sfdc.net,10.220.74.19/28,10.235.34.160/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-19-phx.ops.sfdc.net,10.220.74.37/28,10.235.33.160/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-2-phx.ops.sfdc.net,10.220.74.52/28,10.235.37.64/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-20-phx.ops.sfdc.net,10.220.74.69/28,10.235.36.32/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-21-phx.ops.sfdc.net,10.220.74.70/28,10.235.36.64/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-22-phx.ops.sfdc.net,10.220.74.38/28,10.235.33.192/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-23-phx.ops.sfdc.net,10.220.74.20/28,10.235.34.192/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-24-phx.ops.sfdc.net,10.220.74.71/28,10.235.36.96/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-25-phx.ops.sfdc.net,10.220.74.72/28,10.235.36.128/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-26-phx.ops.sfdc.net,10.220.74.53/28,10.235.37.96/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-27-phx.ops.sfdc.net,10.220.74.73/28,10.235.36.160/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-28-phx.ops.sfdc.net,10.220.74.54/28,10.235.37.128/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-29-phx.ops.sfdc.net,10.220.74.7/28,10.235.32.160/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-3-phx.ops.sfdc.net,10.220.74.39/28,10.235.33.224/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-30-phx.ops.sfdc.net,10.220.74.74/28,10.235.36.192/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-31-phx.ops.sfdc.net,10.220.74.21/28,10.235.34.224/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-32-phx.ops.sfdc.net,10.220.74.22/28,10.235.35.0/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-33-phx.ops.sfdc.net,10.220.74.23/28,10.235.35.32/27,s49-01,phx-flowsnake_prod
